Coach,Team,,Seasons_w_Franch,Seasons_Overall,,Regular_Season_Current_Games,Regular_Season_Current_Wins,Regular_Season_Current_Loss,Regular_Season_w_Franchise_Games,Regular_Season_w_Franchise_Wins,Regular_Season_w_Franchise_Loss,Regular_Season_Career_Games,Regular_Season_Career_Wins,Regular_Season_Career_Loss,Regular_Season_Career_W%,
Larry Drew,ATL,,3,3,,82,44,38,230,128,102,230,128,102,.557
Doc Rivers,BOS,,9,14,,81,41,40,721,416,305,1060,587,473,.554
Avery Johnson,BRK,,3,7,,28,14,14,176,60,116,440,254,186,.577
P.J. Carlesimo,BRK,,1,9,,54,35,19,54,35,19,554,239,315,.431
Mike Dunlap,CHA,,1,1,,82,21,61,82,21,61,82,21,61,.256
Tom Thibodeau,CHI,,3,3,,82,45,37,230,157,73,230,157,73,.683
Byron Scott,CLE,,3,13,,82,24,58,230,64,166,937,416,521,.444
Rick Carlisle,DAL,,5,11,,82,41,41,394,239,155,886,520,366,.587
George Karl,DEN,,9,25,,82,57,25,680,423,257,1887,1131,756,.599
Lawrence Frank,DET,,2,9,,82,29,53,148,54,94,614,279,335,.454
Mark Jackson,GSW,,2,2,,82,47,35,148,70,78,148,70,78,.473
Kevin McHale,HOU,,2,4,,82,45,37,148,79,69,242,118,124,.488
Frank Vogel,IND,,3,3,,81,49,32,185,111,74,185,111,74,.600
Vinny Del Negro,LAC,,3,5,,82,56,26,230,128,102,394,210,184,.533
Mike Brown,LAL,,2,7,,5,1,4,71,42,29,481,314,167,.653
Bernie Bickerstaff,LAL,,1,14,,5,4,1,5,4,1,937,419,518,.447
Mike D'Antoni,LAL,,1,11,,72,40,32,72,40,32,799,428,371,.536
Lionel Hollins,MEM,,7,7,,82,56,26,415,214,201,415,214,201,.516
Erik Spoelstra,MIA,,5,5,,82,66,16,394,260,134,394,260,134,.660
Scott Skiles,MIL,,5,13,,32,16,16,344,162,182,876,443,433,.506
Jim Boylan,MIL,,1,2,,50,22,28,50,22,28,106,46,60,.434
Rick Adelman,MIN,,2,22,,82,31,51,148,57,91,1709,1002,707,.586
Monty Williams,NOH,,3,3,,82,27,55,230,94,136,230,94,136,.409
Mike Woodson,NYK,,2,8,,82,54,28,106,72,34,598,278,320,.465
Scott Brooks,OKC,,5,5,,82,60,22,381,234,147,381,234,147,.614
Jacque Vaughn,ORL,,1,1,,82,20,62,82,20,62,82,20,62,.244
Doug Collins,PHI,,3,11,,82,34,48,230,110,120,849,442,407,.521
Alvin Gentry,PHO,,5,12,,41,13,28,302,158,144,705,335,370,.475
Lindsey Hunter,PHO,,1,1,,41,12,29,41,12,29,41,12,29,.293
Terry Stotts,POR,,1,5,,82,33,49,82,33,49,365,148,217,.405
Keith Smart,SAC,,2,4,,82,28,54,141,48,93,263,93,170,.354
Gregg Popovich,SAS,,17,17,,82,58,24,1328,905,423,1328,905,423,.681
Dwane Casey,TOR,,2,4,,82,34,48,148,57,91,270,110,160,.407
Tyrone Corbin,UTA,,3,3,,82,43,39,176,87,89,176,87,89,.494
Randy Wittman,WAS,,2,7,,82,29,53,131,47,84,438,147,291,.336
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
