Coach,Team,,Seasons_w_Franch,Seasons_Overall,,Regular_Season_Current_Games,Regular_Season_Current_Wins,Regular_Season_Current_Loss,Regular_Season_w_Franchise_Games,Regular_Season_w_Franchise_Wins,Regular_Season_w_Franchise_Loss,Regular_Season_Career_Games,Regular_Season_Career_Wins,Regular_Season_Career_Loss,Regular_Season_Career_W%,
Mike Woodson,ATL,,6,6,,82,53,29,492,206,286,492,206,286,.419
Doc Rivers,BOS,,6,11,,82,50,32,492,280,212,831,451,380,.543
Larry Brown,CHA,,2,29,,82,44,38,164,79,85,2310,1318,992,.571
Vinny Del Negro,CHI,,2,2,,82,41,41,164,82,82,164,82,82,.500
Mike Brown,CLE,,5,5,,82,61,21,410,272,138,410,272,138,.663
Rick Carlisle,DAL,,2,8,,82,55,27,164,105,59,656,386,270,.588
George Karl,DEN,,6,22,,82,53,29,450,278,172,1657,986,671,.595
John Kuester,DET,,1,1,,82,27,55,82,27,55,82,27,55,.329
Don Nelson,GSW,,11,31,,82,26,56,865,422,443,2398,1335,1063,.557
Rick Adelman,HOU,,3,19,,82,42,40,246,150,96,1479,902,577,.610
Jim O'Brien,IND,,3,8,,82,32,50,246,104,142,586,286,300,.488
Mike Dunleavy,LAC,,7,17,,49,21,28,541,215,326,1329,613,716,.461
Kim Hughes,LAC,,1,1,,33,8,25,33,8,25,33,8,25,.242
Phil Jackson,LAL,,10,19,,82,57,25,820,553,267,1558,1098,460,.705
Lionel Hollins,MEM,,4,4,,82,40,42,185,71,114,185,71,114,.384
Erik Spoelstra,MIA,,2,2,,82,47,35,164,90,74,164,90,74,.549
Scott Skiles,MIL,,2,10,,82,46,36,164,80,84,696,361,335,.519
Kurt Rambis,MIN,,1,2,,82,15,67,82,15,67,119,39,80,.328
Lawrence Frank,NJN,,7,7,,16,0,16,466,225,241,466,225,241,.483
Tom Barrise,NJN,,1,1,,2,0,2,2,0,2,2,0,2,.000
Kiki Vandeweghe,NJN,,1,1,,64,12,52,64,12,52,64,12,52,.188
Byron Scott,NOH,,6,10,,9,3,6,419,203,216,707,352,355,.498
Jeff Bower,NOH,,1,1,,73,34,39,73,34,39,73,34,39,.466
Mike D'Antoni,NYK,,2,8,,82,29,53,164,61,103,603,328,275,.544
Scott Brooks,OKC,,2,2,,82,50,32,151,72,79,151,72,79,.477
Stan Van Gundy,ORL,,3,6,,82,59,23,246,170,76,431,282,149,.654
Eddie Jordan,PHI,,1,9,,82,27,55,82,27,55,600,257,343,.428
Alvin Gentry,PHO,,2,9,,82,54,28,113,72,41,516,249,267,.483
Nate McMillan,POR,,5,10,,82,50,32,410,198,212,805,410,395,.509
Paul Westphal,SAC,,1,8,,82,25,57,82,25,57,508,292,216,.575
Gregg Popovich,SAS,,14,14,,82,50,32,1098,736,362,1098,736,362,.670
Jay Triano,TOR,,2,2,,82,40,42,147,65,82,147,65,82,.442
Jerry Sloan,UTA,,22,25,,82,53,29,1755,1096,659,1970,1190,780,.604
Flip Saunders,WAS,,1,14,,82,26,56,82,26,56,1065,613,452,.576
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
