Coach,Team,,Seasons_w_Franch,Seasons_Overall,,Regular_Season_Current_Games,Regular_Season_Current_Wins,Regular_Season_Current_Loss,Regular_Season_w_Franchise_Games,Regular_Season_w_Franchise_Wins,Regular_Season_w_Franchise_Loss,Regular_Season_Career_Games,Regular_Season_Career_Wins,Regular_Season_Career_Loss,Regular_Season_Career_W%,
Larry Drew,ATL,,1,1,,82,44,38,82,44,38,82,44,38,.537
Doc Rivers,BOS,,7,12,,82,56,26,574,336,238,913,507,406,.555
Larry Brown,CHA,,3,30,,28,9,19,192,88,104,2338,1327,1011,.568
Paul Silas,CHA,,5,11,,54,25,29,335,186,149,809,380,429,.470
Tom Thibodeau,CHI,,1,1,,82,62,20,82,62,20,82,62,20,.756
Byron Scott,CLE,,1,11,,82,19,63,82,19,63,789,371,418,.470
Rick Carlisle,DAL,,3,9,,82,57,25,246,162,84,738,443,295,.600
George Karl,DEN,,7,23,,82,50,32,532,328,204,1739,1036,703,.596
John Kuester,DET,,2,2,,82,30,52,164,57,107,164,57,107,.348
Keith Smart,GSW,,1,2,,82,36,46,82,36,46,122,45,77,.369
Rick Adelman,HOU,,4,20,,82,43,39,328,193,135,1561,945,616,.605
Jim O'Brien,IND,,4,9,,44,17,27,290,121,169,630,303,327,.481
Frank Vogel,IND,,1,1,,38,20,18,38,20,18,38,20,18,.526
Vinny Del Negro,LAC,,1,3,,82,32,50,82,32,50,246,114,132,.463
Phil Jackson,LAL,,11,20,,82,57,25,902,610,292,1640,1155,485,.704
Lionel Hollins,MEM,,5,5,,82,46,36,267,117,150,267,117,150,.438
Erik Spoelstra,MIA,,3,3,,82,58,24,246,148,98,246,148,98,.602
Scott Skiles,MIL,,3,11,,82,35,47,246,115,131,778,396,382,.509
Kurt Rambis,MIN,,2,3,,82,17,65,164,32,132,201,56,145,.279
Avery Johnson,NJN,,1,5,,82,24,58,82,24,58,346,218,128,.630
Monty Williams,NOH,,1,1,,82,46,36,82,46,36,82,46,36,.561
Mike D'Antoni,NYK,,3,9,,82,42,40,246,103,143,685,370,315,.540
Scott Brooks,OKC,,3,3,,82,55,27,233,127,106,233,127,106,.545
Stan Van Gundy,ORL,,4,7,,82,52,30,328,222,106,513,334,179,.651
Doug Collins,PHI,,1,9,,82,41,41,82,41,41,701,373,328,.532
Alvin Gentry,PHO,,3,10,,82,40,42,195,112,83,598,289,309,.483
Nate McMillan,POR,,6,11,,82,48,34,492,246,246,887,458,429,.516
Paul Westphal,SAC,,2,9,,82,24,58,164,49,115,590,316,274,.536
Gregg Popovich,SAS,,15,15,,82,61,21,1180,797,383,1180,797,383,.675
Jay Triano,TOR,,3,3,,82,22,60,229,87,142,229,87,142,.380
Jerry Sloan,UTA,,23,26,,54,31,23,1809,1127,682,2024,1221,803,.603
Tyrone Corbin,UTA,,1,1,,28,8,20,28,8,20,28,8,20,.286
Flip Saunders,WAS,,2,15,,82,23,59,164,49,115,1147,636,511,.554
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
