Coach,Team,,Seasons_w_Franch,Seasons_Overall,,Regular_Season_Current_Games,Regular_Season_Current_Wins,Regular_Season_Current_Loss,Regular_Season_w_Franchise_Games,Regular_Season_w_Franchise_Wins,Regular_Season_w_Franchise_Loss,Regular_Season_Career_Games,Regular_Season_Career_Wins,Regular_Season_Career_Loss,Regular_Season_Career_W%,
Mike Woodson,ATL,,4,4,,82,37,45,328,106,222,328,106,222,.323
Doc Rivers,BOS,,4,9,,82,66,16,328,168,160,667,339,328,.508
Sam Vincent,CHA,,1,1,,82,32,50,82,32,50,82,32,50,.390
Scott Skiles,CHI,,5,8,,25,9,16,337,165,172,532,281,251,.528
Pete Myers,CHI,,2,2,,1,0,1,3,0,3,3,0,3,.000
Jim Boylan,CHI,,1,1,,56,24,32,56,24,32,56,24,32,.429
Mike Brown,CLE,,3,3,,82,45,37,246,145,101,246,145,101,.589
Avery Johnson,DAL,,4,4,,82,51,31,264,194,70,264,194,70,.735
George Karl,DEN,,4,20,,82,50,32,286,171,115,1493,879,614,.589
Flip Saunders,DET,,3,13,,82,59,23,246,176,70,983,587,396,.597
Don Nelson,GSW,,9,29,,82,48,34,701,367,334,2234,1280,954,.573
Rick Adelman,HOU,,1,17,,82,55,27,82,55,27,1315,807,508,.614
Jim O'Brien,IND,,1,6,,82,36,46,82,36,46,422,218,204,.517
Mike Dunleavy,LAC,,5,15,,82,23,59,410,175,235,1198,573,625,.478
Phil Jackson,LAL,,8,17,,82,57,25,656,431,225,1394,976,418,.700
Marc Iavaroni,MEM,,1,1,,82,22,60,82,22,60,82,22,60,.268
Pat Riley,MIA,,11,24,,82,15,67,849,454,395,1904,1210,694,.636
Larry Krystkowiak,MIL,,2,2,,82,26,56,100,31,69,100,31,69,.310
Randy Wittman,MIN,,2,4,,82,22,60,124,34,90,288,96,192,.333
Lawrence Frank,NJN,,5,5,,82,34,48,368,191,177,368,191,177,.519
Byron Scott,NOH,,4,8,,82,56,26,328,151,177,616,300,316,.487
Isiah Thomas,NYK,,2,5,,82,23,59,164,56,108,410,187,223,.456
Stan Van Gundy,ORL,,1,4,,82,52,30,82,52,30,267,164,103,.614
Maurice Cheeks,PHI,,3,7,,82,40,42,246,113,133,547,275,272,.503
Mike D'Antoni,PHO,,5,6,,82,55,27,389,253,136,439,267,172,.608
Nate McMillan,POR,,3,8,,82,41,41,246,94,152,641,306,335,.477
Reggie Theus,SAC,,1,1,,82,38,44,82,38,44,82,38,44,.463
Gregg Popovich,SAS,,12,12,,82,56,26,934,632,302,934,632,302,.677
P.J. Carlesimo,SEA,,1,7,,82,20,62,82,20,62,487,203,284,.417
Sam Mitchell,TOR,,4,4,,82,41,41,328,148,180,328,148,180,.451
Jerry Sloan,UTA,,20,23,,82,54,28,1591,995,596,1806,1089,717,.603
Eddie Jordan,WAS,,5,7,,82,43,39,410,196,214,507,229,278,.452
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
