Coach,Team,,Seasons_w_Franch,Seasons_Overall,,Regular_Season_Current_Games,Regular_Season_Current_Wins,Regular_Season_Current_Loss,Regular_Season_w_Franchise_Games,Regular_Season_w_Franchise_Wins,Regular_Season_w_Franchise_Loss,Regular_Season_Career_Games,Regular_Season_Career_Wins,Regular_Season_Career_Loss,Regular_Season_Career_W%,
Mike Budenholzer,ATL,,2,2,,82,60,22,164,98,66,164,98,66,.598
Brad Stevens,BOS,,2,2,,82,40,42,164,65,99,164,65,99,.396
Lionel Hollins,BRK,,1,8,,82,38,44,82,38,44,497,252,245,.507
Tom Thibodeau,CHI,,5,5,,82,50,32,394,255,139,394,255,139,.647
Steve Clifford,CHO,,2,2,,82,33,49,164,76,88,164,76,88,.463
David Blatt,CLE,,1,1,,82,53,29,82,53,29,82,53,29,.646
Rick Carlisle,DAL,,7,13,,82,50,32,558,338,220,1050,619,431,.590
Brian Shaw,DEN,,2,2,,59,20,39,141,56,85,141,56,85,.397
Melvin Hunt,DEN,,1,1,,23,10,13,23,10,13,23,10,13,.435
Stan Van Gundy,DET,,1,9,,82,32,50,82,32,50,661,403,258,.610
Steve Kerr,GSW,,1,1,,82,67,15,82,67,15,82,67,15,.817
Kevin McHale,HOU,,4,6,,82,56,26,312,189,123,406,228,178,.562
Frank Vogel,IND,,5,5,,82,38,44,349,205,144,349,205,144,.587
Doc Rivers,LAC,,2,16,,82,56,26,164,113,51,1224,700,524,.572
Byron Scott,LAL,,1,14,,82,21,61,82,21,61,1019,437,582,.429
Dave Joerger,MEM,,2,2,,82,55,27,164,105,59,164,105,59,.640
Erik Spoelstra,MIA,,7,7,,82,37,45,558,351,207,558,351,207,.629
Jason Kidd,MIL,,1,2,,82,41,41,82,41,41,164,85,79,.518
Flip Saunders,MIN,,11,17,,82,16,66,819,427,392,1246,654,592,.525
Monty Williams,NOP,,5,5,,82,45,37,394,173,221,394,173,221,.439
Derek Fisher,NYK,,1,1,,82,17,65,82,17,65,82,17,65,.207
Scott Brooks,OKC,,7,7,,82,45,37,545,338,207,545,338,207,.620
Jacque Vaughn,ORL,,3,3,,52,15,37,216,58,158,216,58,158,.269
James Borrego,ORL,,1,1,,30,10,20,30,10,20,30,10,20,.333
Brett Brown,PHI,,2,2,,82,18,64,164,37,127,164,37,127,.226
Jeff Hornacek,PHO,,2,2,,82,39,43,164,87,77,164,87,77,.530
Terry Stotts,POR,,3,7,,82,51,31,246,138,108,529,253,276,.478
Mike Malone,SAC,,2,2,,24,11,13,106,39,67,106,39,67,.368
Tyrone Corbin,SAC,,1,5,,28,7,21,28,7,21,286,119,167,.416
George Karl,SAC,,1,26,,30,11,19,30,11,19,1917,1142,775,.596
Gregg Popovich,SAS,,19,19,,82,55,27,1492,1022,470,1492,1022,470,.685
Dwane Casey,TOR,,4,6,,82,49,33,312,154,158,434,207,227,.477
Quin Snyder,UTA,,1,1,,82,38,44,82,38,44,82,38,44,.463
Randy Wittman,WAS,,4,9,,82,46,36,295,137,158,602,237,365,.394
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,
