Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,GOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS,
Atlanta Hawks,,1-3,1-3,0-3,0-4,1-3,2-0,1-1,1-3,0-2,0-2,1-3,0-2,0-2,1-1,1-3,0-3,1-1,1-1,2-1,0-2,2-2,0-3,1-1,1-1,1-1,1-1,0-4,2-0,2-2
Boston Celtics,3-1,,4-0,3-1,3-0,1-2,2-0,2-0,2-1,1-1,1-1,2-2,1-1,1-1,2-0,1-2,2-2,2-0,0-2,3-1,2-0,3-1,3-1,2-0,2-0,2-0,1-1,2-2,1-1,1-3
Brooklyn Nets,3-1,0-4,,3-0,1-2,1-3,2-0,0-2,1-3,0-2,0-2,0-4,0-2,0-2,2-0,3-1,1-2,1-1,0-2,0-4,1-1,3-1,1-3,1-1,1-1,0-2,0-2,0-4,1-1,2-1
Chicago Bulls,3-0,1-3,0-3,,3-1,0-4,2-0,0-2,1-3,0-2,0-2,1-3,0-2,0-2,2-0,1-3,2-2,1-1,0-2,3-1,0-2,4-0,1-2,0-2,0-2,0-2,0-2,0-4,1-1,1-2
Charlotte Hornets,4-0,0-3,2-1,1-3,,0-3,1-1,1-1,2-1,1-1,0-2,2-2,1-1,1-1,2-0,0-4,2-2,1-1,0-2,2-2,1-1,4-0,0-4,2-0,0-2,2-0,0-2,0-4,1-1,3-1
Cleveland Cavaliers,3-1,2-1,3-1,4-0,3-0,,2-0,1-1,3-1,0-2,0-2,1-3,1-1,1-1,2-0,2-1,3-1,1-1,1-1,2-2,1-1,2-2,2-2,2-0,1-1,1-1,0-2,2-1,1-1,3-1
Dallas Mavericks,0-2,0-2,0-2,0-2,1-1,0-2,,2-2,1-1,0-4,0-4,2-0,1-2,1-3,3-1,0-2,1-1,0-4,1-3,1-1,2-2,1-1,0-2,0-3,1-2,2-2,1-3,1-1,0-3,2-0
Denver Nuggets,1-1,0-2,2-0,2-0,1-1,1-1,2-2,,2-0,2-2,0-3,1-1,1-2,2-2,3-1,1-1,2-0,1-3,2-1,1-1,3-1,2-0,0-2,2-1,3-1,3-1,2-2,1-1,2-2,1-1
Detroit Pistons,3-1,1-2,3-1,3-1,1-2,1-3,1-1,0-2,,1-1,1-1,3-1,1-1,1-1,1-1,2-2,2-2,2-0,0-2,3-0,1-1,1-2,0-4,2-0,1-1,2-0,1-1,0-4,0-2,1-3
Golden State Warriors,2-0,1-1,2-0,2-0,1-1,2-0,4-0,2-2,1-1,,1-2,0-2,3-1,4-0,2-1,2-0,1-1,2-1,3-1,2-0,2-2,2-0,2-0,4-0,1-2,2-2,3-1,2-0,1-3,2-0
Houston Rockets,2-0,1-1,2-0,2-0,2-0,2-0,4-0,3-0,1-1,2-1,,2-0,2-2,3-1,2-2,2-0,2-0,4-0,3-1,2-0,1-2,2-0,1-1,4-0,4-0,2-1,3-1,0-2,4-0,1-1
Indiana Pacers,3-1,2-2,4-0,3-1,2-2,3-1,0-2,1-1,1-3,2-0,0-2,,2-0,1-1,2-0,2-2,3-1,1-1,0-2,2-1,0-2,3-0,2-1,2-0,0-2,2-0,2-0,1-3,1-1,1-2
Los Angeles Clippers,2-0,1-1,2-0,2-0,1-1,1-1,2-1,2-1,1-1,1-3,2-2,0-2,,3-1,2-2,0-2,2-0,0-4,1-3,1-1,0-3,2-0,0-2,4-0,1-3,4-0,1-2,2-0,1-3,1-1
Los Angeles Lakers,2-0,1-1,2-0,2-0,1-1,1-1,3-1,2-2,1-1,0-4,1-3,1-1,1-3,,2-2,1-1,0-2,0-4,0-3,1-1,2-2,1-1,1-1,3-1,0-3,2-2,3-0,0-2,0-3,1-1
Memphis Grizzlies,1-1,0-2,0-2,0-2,0-2,0-2,1-3,1-3,1-1,1-2,2-2,0-2,2-2,2-2,,0-2,0-2,2-1,2-2,1-1,0-4,0-2,1-1,1-3,2-2,2-1,0-4,0-2,0-3,0-2
Miami Heat,3-1,2-1,1-3,3-1,4-0,1-2,2-0,1-1,2-2,0-2,0-2,2-2,2-0,1-1,2-0,,3-0,1-1,0-2,2-2,0-2,2-2,2-2,2-0,0-2,0-2,0-2,2-1,2-0,2-2
Milwaukee Bucks,3-0,2-2,2-1,2-2,2-2,1-3,1-1,0-2,2-2,1-1,0-2,1-3,0-2,2-0,2-0,0-3,,1-1,0-2,4-0,1-1,3-1,2-2,2-0,2-0,2-0,2-0,1-2,1-1,2-2
Minnesota Timberwolves,1-1,0-2,1-1,1-1,1-1,1-1,4-0,3-1,0-2,1-2,0-4,1-1,4-0,4-0,1-2,1-1,1-1,,4-0,2-0,3-1,1-1,0-2,2-2,2-2,3-0,1-2,1-1,2-2,1-1
New Orleans Pelicans,1-1,2-0,2-0,2-0,2-0,1-1,3-1,1-2,2-0,1-3,1-3,2-0,3-1,3-0,2-2,2-0,2-0,0-4,,1-1,2-1,1-1,1-1,3-0,2-2,2-2,3-1,0-2,1-3,0-2
New York Knicks,1-2,1-3,4-0,1-3,2-2,2-2,1-1,1-1,0-3,0-2,0-2,1-2,1-1,1-1,1-1,2-2,0-4,0-2,1-1,,1-1,1-3,0-4,2-0,0-2,1-1,0-2,1-3,2-0,1-2
Oklahoma City Thunder,2-0,0-2,1-1,2-0,1-1,1-1,2-2,1-3,1-1,2-2,2-1,2-0,3-0,2-2,4-0,2-0,1-1,1-3,1-2,1-1,,1-1,2-0,2-1,0-4,3-1,2-2,2-0,3-1,1-1
Orlando Magic,2-2,1-3,1-3,0-4,0-4,2-2,1-1,0-2,2-1,0-2,0-2,0-3,0-2,1-1,2-0,2-2,1-3,1-1,1-1,3-1,1-1,,0-3,2-0,0-2,0-2,1-1,0-3,0-2,1-3
Philadelphia 76ers,3-0,1-3,3-1,2-1,4-0,2-2,2-0,2-0,4-0,0-2,1-1,1-2,2-0,1-1,1-1,2-2,2-2,2-0,1-1,4-0,0-2,3-0,,1-1,1-1,0-2,2-0,1-3,2-0,2-2
Phoenix Suns,1-1,0-2,1-1,2-0,0-2,0-2,3-0,1-2,0-2,0-4,0-4,0-2,0-4,1-3,3-1,0-2,0-2,2-2,0-3,0-2,1-2,0-2,1-1,,0-4,3-1,0-4,0-2,1-3,1-1
Portland Trail Blazers,1-1,0-2,1-1,2-0,2-0,1-1,2-1,1-3,1-1,2-1,0-4,2-0,3-1,3-0,2-2,2-0,0-2,2-2,2-2,2-0,4-0,2-0,1-1,4-0,,3-1,1-2,0-2,2-2,1-1
Sacramento Kings,1-1,0-2,2-0,2-0,0-2,1-1,2-2,1-3,0-2,2-2,1-2,0-2,0-4,2-2,1-2,2-0,0-2,0-3,2-2,1-1,1-3,2-0,2-0,1-3,1-3,,0-4,0-2,0-3,0-2
San Antonio Spurs,1-1,1-1,2-0,2-0,2-0,2-0,3-1,2-2,1-1,1-3,1-3,0-2,2-1,0-3,4-0,2-0,0-2,2-1,1-3,2-0,2-2,1-1,0-2,4-0,2-1,4-0,,1-1,1-3,1-1
Toronto Raptors,4-0,2-2,4-0,4-0,4-0,1-2,1-1,1-1,4-0,0-2,2-0,3-1,0-2,2-0,2-0,1-2,2-1,1-1,2-0,3-1,0-2,3-0,3-1,2-0,2-0,2-0,1-1,,1-1,2-2
Utah Jazz,0-2,1-1,1-1,1-1,1-1,1-1,3-0,2-2,2-0,3-1,0-4,1-1,3-1,3-0,3-0,0-2,1-1,2-2,3-1,0-2,1-3,2-0,0-2,3-1,2-2,3-0,3-1,1-1,,2-0
Washington Wizards,2-2,3-1,1-2,2-1,1-3,1-3,0-2,1-1,3-1,0-2,1-1,2-1,1-1,1-1,2-0,2-2,2-2,1-1,2-0,2-1,1-1,3-1,2-2,1-1,1-1,2-0,1-1,2-2,0-2,
