Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,GOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS,
Atlanta Hawks,,1-3,2-2,4-0,1-2,2-2,1-1,1-1,2-1,0-2,0-2,2-2,1-1,1-1,2-0,0-4,4-0,1-1,1-1,0-3,1-1,4-0,2-2,1-1,1-1,2-0,0-2,2-1,2-0,3-1
Boston Celtics,3-1,,1-3,2-2,2-2,2-2,1-1,1-1,1-2,1-1,1-1,2-0,1-1,1-1,0-2,1-3,1-3,1-1,0-2,1-3,1-1,3-0,2-2,2-0,1-1,1-1,0-2,3-1,2-0,3-0
Brooklyn Nets,2-2,3-1,,3-0,1-3,3-0,1-1,1-1,4-0,0-2,0-2,3-0,1-1,0-2,0-2,0-3,2-2,1-1,2-0,2-2,1-1,4-0,3-1,2-0,2-0,2-0,0-2,3-1,0-2,3-1
Charlotte Bobcats,0-4,2-2,0-3,,1-2,1-2,1-1,0-2,1-3,0-2,0-2,1-3,0-2,0-2,0-2,0-4,2-2,2-0,0-2,1-2,0-2,3-1,1-3,0-2,0-2,0-2,0-2,2-2,0-2,3-1
Chicago Bulls,2-1,2-2,3-1,2-1,,3-1,1-1,0-2,3-1,2-0,0-2,1-3,0-2,1-1,0-2,2-2,2-2,2-0,1-1,4-0,0-2,4-0,3-0,1-1,0-2,1-1,0-2,1-2,2-0,2-2
Cleveland Cavaliers,2-2,2-2,0-3,2-1,1-3,,0-2,0-2,0-4,0-2,0-2,0-4,1-1,1-1,0-2,0-4,2-2,0-2,1-1,0-3,1-1,3-1,1-3,0-2,1-1,0-2,0-2,2-2,1-1,3-0
Dallas Mavericks,1-1,1-1,1-1,1-1,1-1,2-0,,1-2,2-0,1-2,3-1,0-2,1-2,1-3,1-3,0-2,1-1,2-2,3-1,1-1,0-4,2-0,1-1,3-1,3-1,4-0,0-4,1-1,1-2,2-0
Denver Nuggets,1-1,1-1,1-1,2-0,2-0,2-0,2-1,,2-0,3-1,4-0,2-0,2-1,3-1,3-1,0-2,2-0,2-2,2-1,1-1,3-1,1-1,1-1,2-1,3-1,4-0,2-2,1-1,3-1,0-2
Detroit Pistons,1-2,2-1,0-4,3-1,1-3,4-0,0-2,0-2,,0-2,0-2,0-4,0-2,0-2,0-2,1-2,3-1,0-2,0-2,0-4,0-2,2-2,2-1,1-1,1-1,1-1,1-1,2-2,0-2,4-0
Golden State Warriors,2-0,1-1,2-0,2-0,0-2,2-0,2-1,1-3,2-0,,1-3,1-1,3-1,1-3,0-3,1-1,0-2,4-0,4-0,1-1,1-3,0-2,1-1,4-0,3-0,1-3,2-2,2-0,1-2,2-0
Houston Rockets,2-0,1-1,2-0,2-0,2-0,2-0,1-3,0-4,2-0,3-1,,0-2,1-2,2-2,1-3,0-2,1-1,2-1,3-1,2-0,1-2,2-0,1-1,2-2,2-2,2-1,1-3,1-1,3-1,1-1
Indiana Pacers,2-2,0-2,0-3,3-1,3-1,4-0,2-0,0-2,4-0,1-1,2-0,,1-1,1-1,2-0,2-1,2-2,1-1,2-0,2-2,0-2,2-1,2-2,2-0,1-1,2-0,0-2,2-2,1-1,3-1
Los Angeles Clippers,1-1,1-1,1-1,2-0,2-0,1-1,2-1,1-2,2-0,1-3,2-1,1-1,,4-0,3-1,1-1,2-0,4-0,3-1,2-0,0-3,1-1,2-0,3-1,3-1,3-1,2-2,1-1,4-0,1-1
Los Angeles Lakers,1-1,1-1,2-0,2-0,1-1,1-1,3-1,1-3,2-0,3-1,2-2,1-1,0-4,,1-2,0-2,1-1,3-0,4-0,1-1,1-3,1-1,1-1,2-2,3-1,3-1,1-2,1-1,1-2,1-1
Memphis Grizzlies,0-2,2-0,2-0,2-0,2-0,2-0,3-1,1-3,2-0,3-0,3-1,0-2,1-3,2-1,,1-1,2-0,3-0,2-2,1-1,2-1,2-0,1-1,2-2,3-1,4-0,2-2,2-0,3-1,1-1
Miami Heat,4-0,3-1,3-0,4-0,2-2,4-0,2-0,2-0,2-1,1-1,2-0,1-2,1-1,2-0,1-1,,3-1,2-0,2-0,1-3,2-0,4-0,4-0,2-0,1-1,2-0,2-0,3-0,1-1,3-1
Milwaukee Bucks,0-4,3-1,2-2,2-2,2-2,2-2,1-1,0-2,1-3,2-0,1-1,2-2,0-2,1-1,0-2,1-3,,0-2,1-1,0-3,1-1,2-1,3-1,2-0,2-0,2-0,0-2,3-0,1-1,1-2
Minnesota Timberwolves,1-1,1-1,1-1,0-2,0-2,2-0,2-2,2-2,2-0,0-4,1-2,1-1,0-4,0-3,0-3,0-2,2-0,,3-1,0-2,2-2,1-1,2-0,3-1,0-4,2-1,2-2,0-2,0-4,1-1
New Orleans Hornets,1-1,2-0,0-2,2-0,1-1,1-1,1-3,1-2,2-0,0-4,1-3,0-2,1-3,0-4,2-2,0-2,1-1,1-3,,0-2,0-4,1-1,1-1,2-1,2-1,2-1,1-3,0-2,1-3,0-2
New York Knicks,3-0,3-1,2-2,2-1,0-4,3-0,1-1,1-1,4-0,1-1,0-2,2-2,0-2,1-1,1-1,3-1,3-0,2-0,2-0,,1-1,4-0,3-1,2-0,0-2,1-1,2-0,2-2,2-0,3-1
Oklahoma City Thunder,1-1,1-1,1-1,2-0,2-0,1-1,4-0,1-3,2-0,3-1,2-1,2-0,3-0,3-1,1-2,0-2,1-1,2-2,4-0,1-1,,2-0,2-0,4-0,4-0,3-0,2-2,2-0,3-1,1-1
Orlando Magic,0-4,0-3,0-4,1-3,0-4,1-3,0-2,1-1,2-2,2-0,0-2,1-2,1-1,1-1,0-2,0-4,1-2,1-1,1-1,0-4,0-2,,2-1,2-0,1-1,0-2,0-2,0-4,0-2,2-2
Philadelphia 76ers,2-2,2-2,1-3,3-1,0-3,3-1,1-1,1-1,1-2,1-1,1-1,2-2,0-2,1-1,1-1,0-4,1-3,0-2,1-1,1-3,0-2,1-2,,1-1,1-1,2-0,0-2,3-1,1-1,2-1
Phoenix Suns,1-1,0-2,0-2,2-0,1-1,2-0,1-3,1-2,1-1,0-4,2-2,0-2,1-3,2-2,2-2,0-2,0-2,1-3,1-2,0-2,0-4,0-2,1-1,,2-1,2-2,1-2,0-2,1-3,0-2
Portland Trail Blazers,1-1,1-1,0-2,2-0,2-0,1-1,1-3,1-3,1-1,0-3,2-2,1-1,1-3,1-3,1-3,1-1,0-2,4-0,1-2,2-0,0-4,1-1,1-1,1-2,,2-2,2-1,1-1,1-3,0-2
Sacramento Kings,0-2,1-1,0-2,2-0,1-1,2-0,0-4,0-4,1-1,3-1,1-2,0-2,1-3,1-3,0-4,0-2,0-2,1-2,1-2,1-1,0-3,2-0,0-2,2-2,2-2,,0-4,2-0,2-2,2-0
San Antonio Spurs,2-0,2-0,2-0,2-0,2-0,2-0,4-0,2-2,1-1,2-2,3-1,2-0,2-2,2-1,2-2,0-2,2-0,2-2,3-1,0-2,2-2,2-0,2-0,2-1,1-2,4-0,,2-0,2-1,2-0
Toronto Raptors,1-2,1-3,1-3,2-2,2-1,2-2,1-1,1-1,2-2,0-2,1-1,2-2,1-1,1-1,0-2,0-3,0-3,2-0,2-0,2-2,0-2,4-0,1-3,2-0,1-1,0-2,0-2,,0-2,2-2
Utah Jazz,0-2,0-2,2-0,2-0,0-2,1-1,2-1,1-3,2-0,2-1,1-3,1-1,0-4,2-1,1-3,1-1,1-1,4-0,3-1,0-2,1-3,2-0,1-1,3-1,3-1,2-2,1-2,2-0,,2-0
Washington Wizards,1-3,0-3,1-3,1-3,2-2,0-3,0-2,2-0,0-4,0-2,1-1,1-3,1-1,1-1,1-1,1-3,2-1,1-1,2-0,1-3,1-1,2-2,1-2,2-0,2-0,0-2,0-2,2-2,0-2,
