Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,GOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS,
Atlanta Hawks,,1-3,1-3,0-4,0-4,1-1,0-2,1-3,0-2,1-1,0-3,0-2,1-1,0-2,0-4,1-2,1-1,0-3,1-1,1-3,1-3,1-3,0-2,0-2,0-2,0-2,0-2,1-2,0-2,0-4
Boston Celtics,3-1,,4-0,2-2,1-2,0-2,0-2,1-3,1-1,1-1,1-2,2-0,1-1,1-1,1-2,3-1,1-1,1-3,2-0,3-1,3-0,1-3,1-1,1-1,0-2,0-2,2-0,3-1,2-0,3-1
Charlotte Bobcats,3-1,0-4,,0-4,0-4,0-2,1-1,2-1,0-2,2-0,0-3,0-2,0-2,0-2,1-3,0-4,1-1,0-4,1-1,1-3,3-1,0-3,0-2,0-2,1-1,0-2,0-2,1-2,1-1,0-4
Chicago Bulls,4-0,2-2,4-0,,2-2,1-1,1-1,2-2,1-1,0-2,2-2,0-2,1-1,2-0,1-3,2-2,2-0,0-4,1-1,4-0,3-0,2-1,0-2,2-0,1-1,0-2,1-1,3-0,2-0,1-2
Cleveland Cavaliers,4-0,2-1,4-0,2-2,,1-1,1-1,2-2,2-0,0-2,1-3,1-1,1-1,2-0,0-3,2-2,1-1,1-3,2-0,1-3,3-1,0-3,1-1,2-0,0-2,0-2,0-2,3-1,2-0,1-2
Dallas Mavericks,1-1,2-0,2-0,1-1,1-1,,2-1,1-1,3-1,2-2,1-1,1-2,2-2,4-0,2-0,2-0,2-2,2-0,4-0,2-0,1-1,1-1,1-2,4-0,3-1,1-3,3-1,2-0,3-0,2-0
Denver Nuggets,2-0,2-0,1-1,1-1,1-1,1-2,,1-1,2-2,1-2,2-0,2-1,2-2,4-0,1-1,2-0,2-2,1-1,4-0,1-1,1-1,1-1,0-4,3-1,1-2,2-2,2-2,2-0,2-2,2-0
Detroit Pistons,3-1,3-1,1-2,2-2,2-2,1-1,1-1,,2-0,2-0,2-2,2-0,2-0,0-2,2-1,2-2,1-1,2-1,2-0,3-0,3-1,3-1,1-1,1-1,1-1,1-1,1-1,3-1,1-1,4-0
Golden State Warriors,2-0,1-1,2-0,1-1,0-2,1-3,2-2,0-2,,1-2,1-1,0-4,1-3,1-3,0-2,2-0,1-2,0-2,2-2,1-1,1-1,1-1,2-2,2-2,3-1,0-3,2-2,1-1,2-1,1-1
Houston Rockets,1-1,1-1,0-2,2-0,2-0,2-2,2-1,0-2,2-1,,1-1,3-0,2-2,3-1,1-1,1-1,1-2,2-0,3-1,1-1,2-0,2-0,2-2,4-0,2-2,2-2,3-1,1-1,2-2,1-1
