Date;Start(ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Sat, Apr 17, 2010;3:00p;Chicago Bulls;83;Cleveland Cavaliers;96;Box Score;;20,562;
Sat, Apr 17, 2010;5:30p;Milwaukee Bucks;92;Atlanta Hawks;102;Box Score;;18,729;
Sat, Apr 17, 2010;8:00p;Miami Heat;76;Boston Celtics;85;Box Score;;18,624;
Sat, Apr 17, 2010;10:30p;Utah Jazz;113;Denver Nuggets;126;Box Score;;19,155;
Sun, Apr 18, 2010;3:00p;Oklahoma City Thunder;79;Los Angeles Lakers;87;Box Score;;18,997;
Sun, Apr 18, 2010;5:30p;Charlotte Bobcats;89;Orlando Magic;98;Box Score;;17,461;
Sun, Apr 18, 2010;8:00p;San Antonio Spurs;94;Dallas Mavericks;100;Box Score;;20,372;
Sun, Apr 18, 2010;10:30p;Portland Trail Blazers;105;Phoenix Suns;100;Box Score;;18,422;
Mon, Apr 19, 2010;8:00p;Chicago Bulls;102;Cleveland Cavaliers;112;Box Score;;20,562;
Mon, Apr 19, 2010;10:30p;Utah Jazz;114;Denver Nuggets;111;Box Score;;19,155;
Tue, Apr 20, 2010;7:00p;Milwaukee Bucks;86;Atlanta Hawks;96;Box Score;;18,938;
Tue, Apr 20, 2010;8:00p;Miami Heat;77;Boston Celtics;106;Box Score;;18,624;
Tue, Apr 20, 2010;10:00p;Portland Trail Blazers;90;Phoenix Suns;119;Box Score;;18,422;
Tue, Apr 20, 2010;10:30p;Oklahoma City Thunder;92;Los Angeles Lakers;95;Box Score;;18,997;
Wed, Apr 21, 2010;7:00p;Charlotte Bobcats;77;Orlando Magic;92;Box Score;;17,461;
Wed, Apr 21, 2010;9:30p;San Antonio Spurs;102;Dallas Mavericks;88;Box Score;;20,728;
Thu, Apr 22, 2010;7:00p;Cleveland Cavaliers;106;Chicago Bulls;108;Box Score;;22,991;
Thu, Apr 22, 2010;9:30p;Los Angeles Lakers;96;Oklahoma City Thunder;101;Box Score;;18,342;
Thu, Apr 22, 2010;10:00p;Phoenix Suns;108;Portland Trail Blazers;89;Box Score;;20,271;
Fri, Apr 23, 2010;7:00p;Boston Celtics;100;Miami Heat;98;Box Score;;19,5;
Fri, Apr 23, 2010;9:30p;Dallas Mavericks;90;San Antonio Spurs;94;Box Score;;18,581;
Fri, Apr 23, 2010;10:30p;Denver Nuggets;93;Utah Jazz;105;Box Score;;19,911;
Sat, Apr 24, 2010;2:00p;Orlando Magic;90;Charlotte Bobcats;86;Box Score;;19,596;
Sat, Apr 24, 2010;4:30p;Phoenix Suns;87;Portland Trail Blazers;96;Box Score;;20,151;
Sat, Apr 24, 2010;7:00p;Atlanta Hawks;89;Milwaukee Bucks;107;Box Score;;18,717;
Sat, Apr 24, 2010;9:30p;Los Angeles Lakers;89;Oklahoma City Thunder;110;Box Score;;18,342;
Sun, Apr 25, 2010;1:00p;Boston Celtics;92;Miami Heat;101;Box Score;;19,52;
Sun, Apr 25, 2010;3:30p;Cleveland Cavaliers;121;Chicago Bulls;98;Box Score;;23,058;
Sun, Apr 25, 2010;7:00p;Dallas Mavericks;89;San Antonio Spurs;92;Box Score;;18,581;
Sun, Apr 25, 2010;9:30p;Denver Nuggets;106;Utah Jazz;117;Box Score;;19,911;
