Date;Start(ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Sat, Apr 21, 2007;12:30p;New Jersey Nets;96;Toronto Raptors;91;Box Score;;20,33;
Sat, Apr 21, 2007;3:00p;Miami Heat;91;Chicago Bulls;96;Box Score;;22,183;
Sat, Apr 21, 2007;7:00p;Orlando Magic;92;Detroit Pistons;100;Box Score;;22,076;
Sat, Apr 21, 2007;9:30p;Utah Jazz;75;Houston Rockets;84;Box Score;;18,195;
Sun, Apr 22, 2007;12:30p;Washington Wizards;82;Cleveland Cavaliers;97;Box Score;;20,562;
Sun, Apr 22, 2007;3:00p;Los Angeles Lakers;87;Phoenix Suns;95;Box Score;;18,422;
Sun, Apr 22, 2007;7:00p;Denver Nuggets;95;San Antonio Spurs;89;Box Score;;18,797;
Sun, Apr 22, 2007;9:30p;Golden State Warriors;97;Dallas Mavericks;85;Box Score;;20,732;
Mon, Apr 23, 2007;7:00p;Orlando Magic;90;Detroit Pistons;98;Box Score;;22,076;
Mon, Apr 23, 2007;9:30p;Utah Jazz;90;Houston Rockets;98;Box Score;;18,206;
Tue, Apr 24, 2007;7:00p;New Jersey Nets;83;Toronto Raptors;89;Box Score;;20,239;
Tue, Apr 24, 2007;8:00p;Miami Heat;89;Chicago Bulls;107;Box Score;;23,097;
Tue, Apr 24, 2007;10:30p;Los Angeles Lakers;98;Phoenix Suns;126;Box Score;;18,422;
Wed, Apr 25, 2007;7:00p;Denver Nuggets;88;San Antonio Spurs;97;Box Score;;18,797;
Wed, Apr 25, 2007;8:00p;Washington Wizards;102;Cleveland Cavaliers;109;Box Score;;20,562;
Wed, Apr 25, 2007;9:30p;Golden State Warriors;99;Dallas Mavericks;112;Box Score;;20,867;
Thu, Apr 26, 2007;8:00p;Detroit Pistons;93;Orlando Magic;77;Box Score;;17,451;
Thu, Apr 26, 2007;9:00p;Houston Rockets;67;Utah Jazz;81;Box Score;;19,911;
Thu, Apr 26, 2007;10:30p;Phoenix Suns;89;Los Angeles Lakers;95;Box Score;;18,997;
Fri, Apr 27, 2007;7:00p;Toronto Raptors;89;New Jersey Nets;102;Box Score;;17,147;
Fri, Apr 27, 2007;8:00p;Chicago Bulls;104;Miami Heat;96;Box Score;;20,28;
Fri, Apr 27, 2007;10:30p;Dallas Mavericks;91;Golden State Warriors;109;Box Score;;20,629;
Sat, Apr 28, 2007;3:00p;Detroit Pistons;97;Orlando Magic;93;Box Score;;17,451;
Sat, Apr 28, 2007;5:30p;Cleveland Cavaliers;98;Washington Wizards;92;Box Score;;20,173;
Sat, Apr 28, 2007;8:00p;San Antonio Spurs;96;Denver Nuggets;91;Box Score;;19,951;
Sat, Apr 28, 2007;10:30p;Houston Rockets;85;Utah Jazz;98;Box Score;;19,911;
Sun, Apr 29, 2007;1:00p;Chicago Bulls;92;Miami Heat;79;Box Score;;20,283;
Sun, Apr 29, 2007;3:30p;Phoenix Suns;113;Los Angeles Lakers;100;Box Score;;18,997;
Sun, Apr 29, 2007;7:30p;Toronto Raptors;81;New Jersey Nets;102;Box Score;;20,032;
Sun, Apr 29, 2007;10:00p;Dallas Mavericks;99;Golden State Warriors;103;Box Score;;20,672;
Mon, Apr 30, 2007;7:00p;Cleveland Cavaliers;97;Washington Wizards;90;Box Score;;20,173;
Mon, Apr 30, 2007;8:00p;Utah Jazz;92;Houston Rockets;96;Box Score;;18,314;
Mon, Apr 30, 2007;10:30p;San Antonio Spurs;96;Denver Nuggets;89;Box Score;;19,644;
Tue, May 1, 2007;7:00p;New Jersey Nets;96;Toronto Raptors;98;Box Score;;20,511;
Tue, May 1, 2007;9:30p;Golden State Warriors;112;Dallas Mavericks;118;Box Score;;21,041;
;;;;;;;;;
Wed, May 2, 2007;8:00p;Denver Nuggets;78;San Antonio Spurs;93;Box Score;;18,797;
Wed, May 2, 2007;10:30p;Los Angeles Lakers;110;Phoenix Suns;119;Box Score;;18,422;
Thu, May 3, 2007;8:00p;Houston Rockets;82;Utah Jazz;94;Box Score;;19,911;
Thu, May 3, 2007;10:30p;Dallas Mavericks;86;Golden State Warriors;111;Box Score;;20,677;
Fri, May 4, 2007;8:00p;Toronto Raptors;97;New Jersey Nets;98;Box Score;;17,242;
Sat, May 5, 2007;7:00p;Chicago Bulls;69;Detroit Pistons;95;Box Score;;22,076;
Sat, May 5, 2007;9:30p;Utah Jazz;103;Houston Rockets;99;Box Score;;18,307;
Sun, May 6, 2007;1:00p;New Jersey Nets;77;Cleveland Cavaliers;81;Box Score;;20,562;
Sun, May 6, 2007;3:30p;San Antonio Spurs;111;Phoenix Suns;106;Box Score;;18,422;
Mon, May 7, 2007;8:00p;Chicago Bulls;87;Detroit Pistons;108;Box Score;;22,076;
Mon, May 7, 2007;10:30p;Golden State Warriors;112;Utah Jazz;116;Box Score;;19,911;
Tue, May 8, 2007;8:00p;New Jersey Nets;92;Cleveland Cavaliers;102;Box Score;;20,562;
Tue, May 8, 2007;10:30p;San Antonio Spurs;81;Phoenix Suns;101;Box Score;;18,422;
Wed, May 9, 2007;9:00p;Golden State Warriors;117;Utah Jazz;127;Box Score;OT;19,911;
Thu, May 10, 2007;9:00p;Detroit Pistons;81;Chicago Bulls;74;Box Score;;23,462;
Fri, May 11, 2007;9:00p;Utah Jazz;105;Golden State Warriors;125;Box Score;;20,655;
Sat, May 12, 2007;5:00p;Cleveland Cavaliers;85;New Jersey Nets;96;Box Score;;20,032;
Sat, May 12, 2007;8:00p;Phoenix Suns;101;San Antonio Spurs;108;Box Score;;18,797;
Sun, May 13, 2007;3:30p;Detroit Pistons;87;Chicago Bulls;102;Box Score;;23,099;
Sun, May 13, 2007;9:00p;Utah Jazz;115;Golden State Warriors;101;Box Score;;20,679;
Mon, May 14, 2007;7:00p;Cleveland Cavaliers;87;New Jersey Nets;85;Box Score;;20,032;
Mon, May 14, 2007;9:30p;Phoenix Suns;104;San Antonio Spurs;98;Box Score;;18,797;
Tue, May 15, 2007;8:00p;Chicago Bulls;108;Detroit Pistons;92;Box Score;;22,076;
Tue, May 15, 2007;10:30p;Golden State Warriors;87;Utah Jazz;100;Box Score;;19,911;
Wed, May 16, 2007;8:00p;New Jersey Nets;83;Cleveland Cavaliers;72;Box Score;;20,562;
Wed, May 16, 2007;10:30p;San Antonio Spurs;88;Phoenix Suns;85;Box Score;;18,422;
Thu, May 17, 2007;8:00p;Detroit Pistons;95;Chicago Bulls;85;Box Score;;23,03;
Fri, May 18, 2007;7:00p;Cleveland Cavaliers;88;New Jersey Nets;72;Box Score;;20,032;
Fri, May 18, 2007;10:30p;Phoenix Suns;106;San Antonio Spurs;114;Box Score;;18,797;
Sun, May 20, 2007;3:30p;Utah Jazz;100;San Antonio Spurs;108;Box Score;;18,3;
Mon, May 21, 2007;8:00p;Cleveland Cavaliers;76;Detroit Pistons;79;Box Score;;22,076;
Tue, May 22, 2007;9:00p;Utah Jazz;96;San Antonio Spurs;105;Box Score;;18,797;
Thu, May 24, 2007;8:00p;Cleveland Cavaliers;76;Detroit Pistons;79;Box Score;;22,076;
Sat, May 26, 2007;8:30p;San Antonio Spurs;83;Utah Jazz;109;Box Score;;19,911;
Sun, May 27, 2007;8:30p;Detroit Pistons;82;Cleveland Cavaliers;88;Box Score;;20,562;
;;;;;;;;;
Mon, May 28, 2007;9:00p;San Antonio Spurs;91;Utah Jazz;79;Box Score;;19,911;
Tue, May 29, 2007;8:00p;Detroit Pistons;87;Cleveland Cavaliers;91;Box Score;;20,562;
Wed, May 30, 2007;9:00p;Utah Jazz;84;San Antonio Spurs;109;Box Score;;18,797;
Thu, May 31, 2007;8:00p;Cleveland Cavaliers;109;Detroit Pistons;107;Box Score;2OT;22,076;LeBron's 48 Special
Sat, Jun 2, 2007;8:30p;Detroit Pistons;82;Cleveland Cavaliers;98;Box Score;;20,562;
Thu, Jun 7, 2007;9:00p;Cleveland Cavaliers;76;San Antonio Spurs;85;Box Score;;18,797;
Sun, Jun 10, 2007;9:00p;Cleveland Cavaliers;92;San Antonio Spurs;103;Box Score;;18,797;
Tue, Jun 12, 2007;9:00p;San Antonio Spurs;75;Cleveland Cavaliers;72;Box Score;;20,562;
Thu, Jun 14, 2007;9:00p;San Antonio Spurs;83;Cleveland Cavaliers;82;Box Score;;20,562;
