Date;Start(ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Sat, Apr 18, 2009;12:30p;Chicago Bulls;105;Boston Celtics;103;Box Score;OT;18,624;
Sat, Apr 18, 2009;3:00p;Detroit Pistons;84;Cleveland Cavaliers;102;Box Score;;20,562;
Sat, Apr 18, 2009;8:00p;Dallas Mavericks;105;San Antonio Spurs;97;Box Score;;18,797;
Sat, Apr 18, 2009;10:30p;Houston Rockets;108;Portland Trail Blazers;81;Box Score;;20,329;
Sun, Apr 19, 2009;3:00p;Utah Jazz;100;Los Angeles Lakers;113;Box Score;;18,997;
Sun, Apr 19, 2009;5:30p;Philadelphia 76ers;100;Orlando Magic;98;Box Score;;17,461;
Sun, Apr 19, 2009;8:00p;Miami Heat;64;Atlanta Hawks;90;Box Score;;18,851;
Sun, Apr 19, 2009;10:30p;New Orleans Hornets;84;Denver Nuggets;113;Box Score;;19,536;
Mon, Apr 20, 2009;7:00p;Chicago Bulls;115;Boston Celtics;118;Box Score;;18,624;
Mon, Apr 20, 2009;9:30p;Dallas Mavericks;84;San Antonio Spurs;105;Box Score;;18,797;
Tue, Apr 21, 2009;8:00p;Detroit Pistons;82;Cleveland Cavaliers;94;Box Score;;20,562;
Tue, Apr 21, 2009;10:00p;Houston Rockets;103;Portland Trail Blazers;107;Box Score;;20,408;
Tue, Apr 21, 2009;10:30p;Utah Jazz;109;Los Angeles Lakers;119;Box Score;;18,997;
Wed, Apr 22, 2009;7:00p;Philadelphia 76ers;87;Orlando Magic;96;Box Score;;17,461;
Wed, Apr 22, 2009;8:00p;Miami Heat;108;Atlanta Hawks;93;Box Score;;19,146;
Wed, Apr 22, 2009;10:30p;New Orleans Hornets;93;Denver Nuggets;108;Box Score;;19,623;
Thu, Apr 23, 2009;8:00p;Boston Celtics;107;Chicago Bulls;86;Box Score;;23,072;
Thu, Apr 23, 2009;8:30p;San Antonio Spurs;67;Dallas Mavericks;88;Box Score;;20,491;
Thu, Apr 23, 2009;10:30p;Los Angeles Lakers;86;Utah Jazz;88;Box Score;;19,911;
Fri, Apr 24, 2009;7:00p;Cleveland Cavaliers;79;Detroit Pistons;68;Box Score;;22,076;
Fri, Apr 24, 2009;8:00p;Orlando Magic;94;Philadelphia 76ers;96;Box Score;;16,492;
Fri, Apr 24, 2009;9:30p;Portland Trail Blazers;83;Houston Rockets;86;Box Score;;18,371;
Sat, Apr 25, 2009;1:00p;Denver Nuggets;93;New Orleans Hornets;95;Box Score;;17,489;
