Date;Start(ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Sat, Apr 15, 2017;3:00p;Indiana Pacers;108;Cleveland Cavaliers;109;Box Score;;20,562;
Sat, Apr 15, 2017;5:30p;Milwaukee Bucks;97;Toronto Raptors;83;Box Score;;20,133;
Sat, Apr 15, 2017;8:00p;Memphis Grizzlies;82;San Antonio Spurs;111;Box Score;;18,418;
Sat, Apr 15, 2017;10:30p;Utah Jazz;97;Los Angeles Clippers;95;Box Score;;19,06;
Sun, Apr 16, 2017;1:00p;Atlanta Hawks;107;Washington Wizards;114;Box Score;;20,356;
Sun, Apr 16, 2017;3:30p;Portland Trail Blazers;109;Golden State Warriors;121;Box Score;;19,596;
Sun, Apr 16, 2017;6:30p;Chicago Bulls;106;Boston Celtics;102;Box Score;;18,624;
Sun, Apr 16, 2017;9:00p;Oklahoma City Thunder;87;Houston Rockets;118;Box Score;;18,055;
Mon, Apr 17, 2017;7:00p;Indiana Pacers;111;Cleveland Cavaliers;117;Box Score;;20,562;
Mon, Apr 17, 2017;9:30p;Memphis Grizzlies;82;San Antonio Spurs;96;Box Score;;18,418;
Tue, Apr 18, 2017;7:00p;Milwaukee Bucks;100;Toronto Raptors;106;Box Score;;20,077;
Tue, Apr 18, 2017;8:00p;Chicago Bulls;111;Boston Celtics;97;Box Score;;18,624;
Tue, Apr 18, 2017;10:30p;Utah Jazz;91;Los Angeles Clippers;99;Box Score;;19,06;
Wed, Apr 19, 2017;7:00p;Atlanta Hawks;101;Washington Wizards;109;Box Score;;20,356;
Wed, Apr 19, 2017;8:00p;Oklahoma City Thunder;111;Houston Rockets;115;Box Score;;18,055;
Wed, Apr 19, 2017;10:30p;Portland Trail Blazers;81;Golden State Warriors;110;Box Score;;19,596;
Thu, Apr 20, 2017;7:00p;Cleveland Cavaliers;119;Indiana Pacers;114;Box Score;;17,923;
Thu, Apr 20, 2017;8:00p;Toronto Raptors;77;Milwaukee Bucks;104;Box Score;;18,717;
Thu, Apr 20, 2017;9:30p;San Antonio Spurs;94;Memphis Grizzlies;105;Box Score;;18,119;
Fri, Apr 21, 2017;7:00p;Boston Celtics;104;Chicago Bulls;87;Box Score;;21,293;
Fri, Apr 21, 2017;9:30p;Houston Rockets;113;Oklahoma City Thunder;115;Box Score;;18,203;
Fri, Apr 21, 2017;10:00p;Los Angeles Clippers;111;Utah Jazz;106;Box Score;;19,911;
Sat, Apr 22, 2017;3:00p;Toronto Raptors;87;Milwaukee Bucks;76;Box Score;;18,717;
Sat, Apr 22, 2017;5:30p;Washington Wizards;98;Atlanta Hawks;116;Box Score;;18,866;
Sat, Apr 22, 2017;8:00p;San Antonio Spurs;108;Memphis Grizzlies;110;Box Score;OT;18,119;
Sat, Apr 22, 2017;10:30p;Golden State Warriors;119;Portland Trail Blazers;113;Box Score;;20,177;
Sun, Apr 23, 2017;1:00p;Cleveland Cavaliers;106;Indiana Pacers;102;Box Score;;17,923;
Sun, Apr 23, 2017;3:30p;Houston Rockets;113;Oklahoma City Thunder;109;Box Score;;18,203;
Sun, Apr 23, 2017;6:30p;Boston Celtics;104;Chicago Bulls;95;Box Score;;21,863;
Sun, Apr 23, 2017;9:00p;Los Angeles Clippers;98;Utah Jazz;105;Box Score;;19,911;
Mon, Apr 24, 2017;7:00p;Milwaukee Bucks;93;Toronto Raptors;118;Box Score;;20,251;
Mon, Apr 24, 2017;8:00p;Washington Wizards;101;Atlanta Hawks;111;Box Score;;18,676;
Mon, Apr 24, 2017;10:30p;Golden State Warriors;128;Portland Trail Blazers;103;Box Score;;19,902;
Tue, Apr 25, 2017;8:00p;Oklahoma City Thunder;99;Houston Rockets;105;Box Score;;18,055;
Tue, Apr 25, 2017;9:00p;Memphis Grizzlies;103;San Antonio Spurs;116;Box Score;;18,418;
;;;;;;;;;
Tue, Apr 25, 2017;10:30p;Utah Jazz;96;Los Angeles Clippers;92;Box Score;;19,171;
Wed, Apr 26, 2017;6:00p;Atlanta Hawks;99;Washington Wizards;103;Box Score;;20,356;
Wed, Apr 26, 2017;8:30p;Chicago Bulls;97;Boston Celtics;108;Box Score;;18,624;
Thu, Apr 27, 2017;7:00p;Toronto Raptors;92;Milwaukee Bucks;89;Box Score;;18,717;
Thu, Apr 27, 2017;9:30p;San Antonio Spurs;103;Memphis Grizzlies;96;Box Score;;18,119;
Fri, Apr 28, 2017;7:30p;Washington Wizards;115;Atlanta Hawks;99;Box Score;;18,849;
Fri, Apr 28, 2017;8:00p;Boston Celtics;105;Chicago Bulls;83;Box Score;;21,682;
Fri, Apr 28, 2017;10:30p;Los Angeles Clippers;98;Utah Jazz;93;Box Score;;19,911;
Sun, Apr 30, 2017;1:00p;Washington Wizards;111;Boston Celtics;123;Box Score;;18,624;
Sun, Apr 30, 2017;3:30p;Utah Jazz;104;Los Angeles Clippers;91;Box Score;;19,06;
Mon, May 1, 2017;7:00p;Toronto Raptors;105;Cleveland Cavaliers;116;Box Score;;20,562;
Mon, May 1, 2017;9:30p;Houston Rockets;126;San Antonio Spurs;99;Box Score;;18,418;
Tue, May 2, 2017;8:00p;Washington Wizards;119;Boston Celtics;129;Box Score;OT;18,624;
Tue, May 2, 2017;10:30p;Utah Jazz;94;Golden State Warriors;106;Box Score;;19,596;
Wed, May 3, 2017;7:00p;Toronto Raptors;103;Cleveland Cavaliers;125;Box Score;;20,562;
Wed, May 3, 2017;9:30p;Houston Rockets;96;San Antonio Spurs;121;Box Score;;18,418;
Thu, May 4, 2017;8:00p;Boston Celtics;89;Washington Wizards;116;Box Score;;20,356;
Thu, May 4, 2017;10:30p;Utah Jazz;104;Golden State Warriors;115;Box Score;;19,596;
Fri, May 5, 2017;7:00p;Cleveland Cavaliers;115;Toronto Raptors;94;Box Score;;20,384;
Fri, May 5, 2017;9:30p;San Antonio Spurs;103;Houston Rockets;92;Box Score;;18,187;
Sat, May 6, 2017;8:30p;Golden State Warriors;102;Utah Jazz;91;Box Score;;19,911;
Sun, May 7, 2017;3:30p;Cleveland Cavaliers;109;Toronto Raptors;102;Box Score;;20,307;
Sun, May 7, 2017;6:30p;Boston Celtics;102;Washington Wizards;121;Box Score;;20,356;
Sun, May 7, 2017;9:00p;San Antonio Spurs;104;Houston Rockets;125;Box Score;;18,055;
Mon, May 8, 2017;9:00p;Golden State Warriors;121;Utah Jazz;95;Box Score;;19,911;
Tue, May 9, 2017;8:00p;Houston Rockets;107;San Antonio Spurs;110;Box Score;OT;18,418;
Wed, May 10, 2017;8:00p;Washington Wizards;101;Boston Celtics;123;Box Score;;18,624;
Thu, May 11, 2017;8:00p;San Antonio Spurs;114;Houston Rockets;75;Box Score;;18,055;
Fri, May 12, 2017;8:00p;Boston Celtics;91;Washington Wizards;92;Box Score;;20,356;
Sun, May 14, 2017;3:30p;San Antonio Spurs;111;Golden State Warriors;113;Box Score;;19,596;
