Date;Start(ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Sat, Apr 16, 2011;1:00p;Indiana Pacers;99;Chicago Bulls;104;Box Score;;22,986;
Sat, Apr 16, 2011;3:30p;Philadelphia 76ers;89;Miami Heat;97;Box Score;;19,6;
Sat, Apr 16, 2011;7:00p;Atlanta Hawks;103;Orlando Magic;93;Box Score;;19,108;
Sat, Apr 16, 2011;9:30p;Portland Trail Blazers;81;Dallas Mavericks;89;Box Score;;20,541;
Sun, Apr 17, 2011;1:00p;Memphis Grizzlies;101;San Antonio Spurs;98;Box Score;;18,581;
Sun, Apr 17, 2011;3:30p;New Orleans Hornets;109;Los Angeles Lakers;100;Box Score;;18,997;
Sun, Apr 17, 2011;7:00p;New York Knicks;85;Boston Celtics;87;Box Score;;18,624;
Sun, Apr 17, 2011;9:30p;Denver Nuggets;103;Oklahoma City Thunder;107;Box Score;;18,203;
Mon, Apr 18, 2011;7:00p;Philadelphia 76ers;73;Miami Heat;94;Box Score;;20,204;
Mon, Apr 18, 2011;9:30p;Indiana Pacers;90;Chicago Bulls;96;Box Score;;22,48;
Tue, Apr 19, 2011;7:00p;New York Knicks;93;Boston Celtics;96;Box Score;;18,624;
Tue, Apr 19, 2011;7:30p;Atlanta Hawks;82;Orlando Magic;88;Box Score;;19,16;
Tue, Apr 19, 2011;9:30p;Portland Trail Blazers;89;Dallas Mavericks;101;Box Score;;20,62;
Wed, Apr 20, 2011;8:00p;Denver Nuggets;89;Oklahoma City Thunder;106;Box Score;;18,203;
Wed, Apr 20, 2011;8:30p;Memphis Grizzlies;87;San Antonio Spurs;93;Box Score;;18,76;
Wed, Apr 20, 2011;10:30p;New Orleans Hornets;78;Los Angeles Lakers;87;Box Score;;18,997;
Thu, Apr 21, 2011;7:00p;Chicago Bulls;88;Indiana Pacers;84;Box Score;;18,165;
Thu, Apr 21, 2011;8:00p;Miami Heat;100;Philadelphia 76ers;94;Box Score;;20,404;
