Date;Start(ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Sat, Apr 19, 2014;12:30p;Brooklyn Nets;94;Toronto Raptors;87;Box Score;;19,8;
Sat, Apr 19, 2014;3:30p;Golden State Warriors;109;Los Angeles Clippers;105;Box Score;;19,339;
Sat, Apr 19, 2014;7:00p;Atlanta Hawks;101;Indiana Pacers;93;Box Score;;18,165;
Sat, Apr 19, 2014;9:43p;Memphis Grizzlies;86;Oklahoma City Thunder;100;Box Score;;18,203;
Sun, Apr 20, 2014;1:00p;Dallas Mavericks;85;San Antonio Spurs;90;Box Score;;18,581;
Sun, Apr 20, 2014;3:30p;Charlotte Bobcats;88;Miami Heat;99;Box Score;;19,64;
Sun, Apr 20, 2014;7:00p;Washington Wizards;102;Chicago Bulls;93;Box Score;;21,694;
Sun, Apr 20, 2014;9:30p;Portland Trail Blazers;122;Houston Rockets;120;Box Score;OT;18,24;
Mon, Apr 21, 2014;8:00p;Memphis Grizzlies;111;Oklahoma City Thunder;105;Box Score;OT;18,203;
Mon, Apr 21, 2014;10:30p;Golden State Warriors;98;Los Angeles Clippers;138;Box Score;;19,57;
Tue, Apr 22, 2014;7:00p;Atlanta Hawks;85;Indiana Pacers;101;Box Score;;18,165;
Tue, Apr 22, 2014;7:30p;Brooklyn Nets;95;Toronto Raptors;100;Box Score;;20,382;
Tue, Apr 22, 2014;9:30p;Washington Wizards;101;Chicago Bulls;99;Box Score;OT;21,663;
Wed, Apr 23, 2014;7:00p;Charlotte Bobcats;97;Miami Heat;101;Box Score;;19,603;
Wed, Apr 23, 2014;8:00p;Dallas Mavericks;113;San Antonio Spurs;92;Box Score;;18,581;
Wed, Apr 23, 2014;9:30p;Portland Trail Blazers;112;Houston Rockets;105;Box Score;;18,331;
Thu, Apr 24, 2014;7:00p;Indiana Pacers;85;Atlanta Hawks;98;Box Score;;18,124;
Thu, Apr 24, 2014;8:00p;Oklahoma City Thunder;95;Memphis Grizzlies;98;Box Score;OT;18,119;
Thu, Apr 24, 2014;10:30p;Los Angeles Clippers;98;Golden State Warriors;96;Box Score;;19,596;
Fri, Apr 25, 2014;7:00p;Toronto Raptors;98;Brooklyn Nets;102;Box Score;;17,732;
Fri, Apr 25, 2014;8:00p;Chicago Bulls;100;Washington Wizards;97;Box Score;;20,356;
Fri, Apr 25, 2014;10:30p;Houston Rockets;121;Portland Trail Blazers;116;Box Score;OT;20,302;
Sat, Apr 26, 2014;2:00p;Indiana Pacers;91;Atlanta Hawks;88;Box Score;;19,043;
