Date;Start(ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Sat, Apr 19, 2008;12:30p;Washington Wizards;86;Cleveland Cavaliers;93;Box Score;;20,562;
Sat, Apr 19, 2008;3:00p;Phoenix Suns;115;San Antonio Spurs;117;Box Score;2OT;18,797;
Sat, Apr 19, 2008;7:00p;Dallas Mavericks;92;New Orleans Hornets;104;Box Score;;17,446;
Sat, Apr 19, 2008;9:30p;Utah Jazz;93;Houston Rockets;82;Box Score;;18,213;
Sun, Apr 20, 2008;12:30p;Toronto Raptors;100;Orlando Magic;114;Box Score;;17,519;
Sun, Apr 20, 2008;3:00p;Denver Nuggets;114;Los Angeles Lakers;128;Box Score;;18,997;
Sun, Apr 20, 2008;6:00p;Philadelphia 76ers;90;Detroit Pistons;86;Box Score;;22,076;
Sun, Apr 20, 2008;8:30p;Atlanta Hawks;81;Boston Celtics;104;Box Score;;18,624;
Mon, Apr 21, 2008;7:00p;Washington Wizards;86;Cleveland Cavaliers;116;Box Score;;20,562;
Mon, Apr 21, 2008;9:30p;Utah Jazz;90;Houston Rockets;84;Box Score;;18,158;
Tue, Apr 22, 2008;7:00p;Dallas Mavericks;103;New Orleans Hornets;127;Box Score;;17,855;
Tue, Apr 22, 2008;7:30p;Toronto Raptors;103;Orlando Magic;104;Box Score;;17,519;
Tue, Apr 22, 2008;9:30p;Phoenix Suns;96;San Antonio Spurs;102;Box Score;;18,797;
Wed, Apr 23, 2008;7:30p;Philadelphia 76ers;88;Detroit Pistons;105;Box Score;;22,076;
Wed, Apr 23, 2008;8:00p;Atlanta Hawks;77;Boston Celtics;96;Box Score;;18,624;
Wed, Apr 23, 2008;10:30p;Denver Nuggets;107;Los Angeles Lakers;122;Box Score;;18,997;
Thu, Apr 24, 2008;7:30p;Orlando Magic;94;Toronto Raptors;108;Box Score;;20,023;
Thu, Apr 24, 2008;8:00p;Cleveland Cavaliers;72;Washington Wizards;108;Box Score;;20,173;
Thu, Apr 24, 2008;10:30p;Houston Rockets;94;Utah Jazz;92;Box Score;;19,911;
Fri, Apr 25, 2008;7:00p;Detroit Pistons;75;Philadelphia 76ers;95;Box Score;;18,805;
Fri, Apr 25, 2008;8:00p;New Orleans Hornets;87;Dallas Mavericks;97;Box Score;;20,839;
Fri, Apr 25, 2008;10:30p;San Antonio Spurs;115;Phoenix Suns;99;Box Score;;18,422;
Sat, Apr 26, 2008;3:00p;Orlando Magic;106;Toronto Raptors;94;Box Score;;20,416;
Sat, Apr 26, 2008;5:30p;Los Angeles Lakers;102;Denver Nuggets;84;Box Score;;19,602;
Sat, Apr 26, 2008;8:00p;Boston Celtics;93;Atlanta Hawks;102;Box Score;;19,725;
Sat, Apr 26, 2008;10:30p;Houston Rockets;82;Utah Jazz;86;Box Score;;19,911;
Sun, Apr 27, 2008;1:00p;Cleveland Cavaliers;100;Washington Wizards;97;Box Score;;20,173;
Sun, Apr 27, 2008;4:30p;San Antonio Spurs;86;Phoenix Suns;105;Box Score;;18,422;
Sun, Apr 27, 2008;7:00p;Detroit Pistons;93;Philadelphia 76ers;84;Box Score;;18,347;
Sun, Apr 27, 2008;9:30p;New Orleans Hornets;97;Dallas Mavericks;84;Box Score;;20,644;
Mon, Apr 28, 2008;7:30p;Toronto Raptors;92;Orlando Magic;102;Box Score;;17,519;
Mon, Apr 28, 2008;8:00p;Boston Celtics;92;Atlanta Hawks;97;Box Score;;20,016;
Mon, Apr 28, 2008;10:30p;Los Angeles Lakers;107;Denver Nuggets;101;Box Score;;19,264;
Tue, Apr 29, 2008;7:00p;Philadelphia 76ers;81;Detroit Pistons;98;Box Score;;22,076;
Tue, Apr 29, 2008;7:00p;Dallas Mavericks;94;New Orleans Hornets;99;Box Score;;18,26;
;;;;;;;;;
Tue, Apr 29, 2008;9:30p;Utah Jazz;69;Houston Rockets;95;Box Score;;18,269;
Tue, Apr 29, 2008;9:30p;Phoenix Suns;87;San Antonio Spurs;92;Box Score;;18,797;
Wed, Apr 30, 2008;6:00p;Washington Wizards;88;Cleveland Cavaliers;87;Box Score;;20,562;
Wed, Apr 30, 2008;8:30p;Atlanta Hawks;85;Boston Celtics;110;Box Score;;18,624;
Thu, May 1, 2008;8:00p;Detroit Pistons;100;Philadelphia 76ers;77;Box Score;;14,13;
Fri, May 2, 2008;7:00p;Cleveland Cavaliers;105;Washington Wizards;88;Box Score;;20,173;
Fri, May 2, 2008;8:00p;Boston Celtics;100;Atlanta Hawks;103;Box Score;;20,425;
Fri, May 2, 2008;10:30p;Houston Rockets;91;Utah Jazz;113;Box Score;;19,911;
Sat, May 3, 2008;7:30p;Orlando Magic;72;Detroit Pistons;91;Box Score;;22,076;
Sat, May 3, 2008;10:00p;San Antonio Spurs;82;New Orleans Hornets;101;Box Score;;18,04;
Sun, May 4, 2008;1:00p;Atlanta Hawks;65;Boston Celtics;99;Box Score;;18,624;
Sun, May 4, 2008;4:30p;Utah Jazz;98;Los Angeles Lakers;109;Box Score;;18,997;
Mon, May 5, 2008;7:00p;Orlando Magic;93;Detroit Pistons;100;Box Score;;22,076;
Mon, May 5, 2008;9:30p;San Antonio Spurs;84;New Orleans Hornets;102;Box Score;;17,927;
Tue, May 6, 2008;8:00p;Cleveland Cavaliers;72;Boston Celtics;76;Box Score;;18,624;
Wed, May 7, 2008;8:00p;Detroit Pistons;86;Orlando Magic;111;Box Score;;17,519;
Wed, May 7, 2008;10:30p;Utah Jazz;110;Los Angeles Lakers;120;Box Score;;18,997;
Thu, May 8, 2008;7:00p;Cleveland Cavaliers;73;Boston Celtics;89;Box Score;;18,624;
Thu, May 8, 2008;9:30p;New Orleans Hornets;99;San Antonio Spurs;110;Box Score;;18,797;
Fri, May 9, 2008;9:00p;Los Angeles Lakers;99;Utah Jazz;104;Box Score;;19,911;
Sat, May 10, 2008;5:00p;Detroit Pistons;90;Orlando Magic;89;Box Score;;17,519;
Sat, May 10, 2008;8:00p;Boston Celtics;84;Cleveland Cavaliers;108;Box Score;;20,562;
Sun, May 11, 2008;3:30p;Los Angeles Lakers;115;Utah Jazz;123;Box Score;OT;19,911;
