Date;Start(ET);Visitor/Neutral;PTS;Home/Neutral;PTS;;;Attend.;Notes
Sat, Apr 14, 2018;3:00p;San Antonio Spurs;92;Golden State Warriors;113;Box Score;;19,596;
Sat, Apr 14, 2018;5:30p;Washington Wizards;106;Toronto Raptors;114;Box Score;;19,937;
Sat, Apr 14, 2018;8:00p;Miami Heat;103;Philadelphia 76ers;130;Box Score;;20,617;
Sat, Apr 14, 2018;10:30p;New Orleans Pelicans;97;Portland Trail Blazers;95;Box Score;;19,882;
Sun, Apr 15, 2018;1:00p;Milwaukee Bucks;107;Boston Celtics;113;Box Score;OT;18,624;
Sun, Apr 15, 2018;3:30p;Indiana Pacers;98;Cleveland Cavaliers;80;Box Score;;20,562;
Sun, Apr 15, 2018;6:30p;Utah Jazz;108;Oklahoma City Thunder;116;Box Score;;18,203;
Sun, Apr 15, 2018;9:00p;Minnesota Timberwolves;101;Houston Rockets;104;Box Score;;18,055;
Mon, Apr 16, 2018;8:00p;Miami Heat;113;Philadelphia 76ers;103;Box Score;;20,753;
Mon, Apr 16, 2018;10:30p;San Antonio Spurs;101;Golden State Warriors;116;Box Score;;19,596;
Tue, Apr 17, 2018;7:00p;Washington Wizards;119;Toronto Raptors;130;Box Score;;20,242;
Tue, Apr 17, 2018;8:00p;Milwaukee Bucks;106;Boston Celtics;120;Box Score;;18,624;
Tue, Apr 17, 2018;10:30p;New Orleans Pelicans;111;Portland Trail Blazers;102;Box Score;;20,066;
Wed, Apr 18, 2018;7:00p;Indiana Pacers;97;Cleveland Cavaliers;100;Box Score;;20,562;
Wed, Apr 18, 2018;8:00p;Utah Jazz;102;Oklahoma City Thunder;95;Box Score;;18,203;
Wed, Apr 18, 2018;9:30p;Minnesota Timberwolves;82;Houston Rockets;102;Box Score;;18,055;
Thu, Apr 19, 2018;7:00p;Philadelphia 76ers;128;Miami Heat;108;Box Score;;19,812;
Thu, Apr 19, 2018;9:00p;Portland Trail Blazers;102;New Orleans Pelicans;119;Box Score;;18,551;
Thu, Apr 19, 2018;9:30p;Golden State Warriors;110;San Antonio Spurs;97;Box Score;;18,418;
Fri, Apr 20, 2018;7:00p;Cleveland Cavaliers;90;Indiana Pacers;92;Box Score;;17,923;
Fri, Apr 20, 2018;8:00p;Toronto Raptors;103;Washington Wizards;122;Box Score;;20,356;
Fri, Apr 20, 2018;9:30p;Boston Celtics;92;Milwaukee Bucks;116;Box Score;;18,717;
Sat, Apr 21, 2018;2:30p;Philadelphia 76ers;106;Miami Heat;102;Box Score;;19,804;
Sat, Apr 21, 2018;5:00p;Portland Trail Blazers;123;New Orleans Pelicans;131;Box Score;;18,544;
Sat, Apr 21, 2018;7:30p;Houston Rockets;105;Minnesota Timberwolves;121;Box Score;;18,978;
Sat, Apr 21, 2018;10:00p;Oklahoma City Thunder;102;Utah Jazz;115;Box Score;;18,306;
Sun, Apr 22, 2018;1:00p;Boston Celtics;102;Milwaukee Bucks;104;Box Score;;18,717;
Sun, Apr 22, 2018;3:30p;Golden State Warriors;90;San Antonio Spurs;103;Box Score;;18,418;
Sun, Apr 22, 2018;6:00p;Toronto Raptors;98;Washington Wizards;106;Box Score;;20,356;
Sun, Apr 22, 2018;8:30p;Cleveland Cavaliers;104;Indiana Pacers;100;Box Score;;17,923;
Mon, Apr 23, 2018;8:00p;Houston Rockets;119;Minnesota Timberwolves;100;Box Score;;18,978;
Mon, Apr 23, 2018;10:30p;Oklahoma City Thunder;96;Utah Jazz;113;Box Score;;18,306;
