Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,GOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS,
Atlanta Hawks,,3-1,2-1,4-0,3-1,0-3,2-0,2-0,3-1,0-2,2-0,2-2,1-1,2-0,2-0,1-3,1-2,0-2,2-0,2-2,1-1,2-2,3-0,1-1,2-0,1-1,0-2,1-3,1-1,2-2
Boston Celtics,1-3,,2-2,2-1,2-1,1-2,0-2,2-0,2-2,1-1,1-1,1-3,1-1,1-1,1-1,3-0,3-1,1-1,2-0,3-1,1-1,2-2,4-0,2-0,1-1,2-0,0-2,1-3,1-1,4-0
Brooklyn Nets,1-2,2-2,,1-2,0-4,1-3,0-2,2-0,1-3,0-2,2-0,1-3,0-2,0-2,0-2,1-3,0-3,0-2,0-2,2-2,1-1,0-4,2-2,2-0,0-2,1-1,0-2,0-4,1-1,0-3
Chicago Bulls,0-4,1-2,2-1,,1-3,3-1,0-2,1-1,1-3,0-2,2-0,3-1,1-1,2-0,1-1,0-4,3-1,0-2,2-0,1-3,2-0,1-2,4-0,1-1,1-1,2-0,1-1,4-0,1-1,1-2
Charlotte Hornets,1-3,1-2,4-0,3-1,,1-3,1-1,0-2,2-1,0-2,1-1,3-0,0-2,2-0,2-0,2-2,3-1,2-0,1-1,3-1,0-2,3-1,4-0,1-1,1-1,2-0,1-1,1-2,1-1,2-2
Cleveland Cavaliers,3-0,2-1,3-1,1-3,3-1,,2-0,2-0,1-3,0-2,1-1,3-1,2-0,2-0,1-1,1-2,3-1,2-0,1-1,4-0,2-0,4-0,4-0,2-0,1-1,2-0,1-1,1-2,1-1,2-2
Dallas Mavericks,0-2,2-0,2-0,2-0,1-1,0-2,,3-1,1-1,1-3,2-2,0-2,1-3,3-0,3-1,0-2,1-1,4-0,2-2,2-0,0-4,1-1,2-0,3-0,2-1,1-3,0-4,0-2,2-1,1-1
Denver Nuggets,0-2,0-2,0-2,1-1,2-0,0-2,1-3,,2-0,1-3,3-0,1-1,1-2,3-1,1-3,0-2,1-1,3-1,1-2,2-0,0-4,0-2,2-0,2-2,1-3,0-3,1-3,2-0,0-4,2-0
Detroit Pistons,1-3,2-2,3-1,3-1,1-2,3-1,1-1,0-2,,1-1,2-0,1-3,0-2,1-1,0-2,2-2,3-1,2-0,0-2,1-2,1-1,3-0,4-0,2-0,2-0,1-1,0-2,1-2,2-0,1-3
Golden State Warriors,2-0,1-1,2-0,2-0,2-0,2-0,3-1,3-1,1-1,,3-0,2-0,4-0,3-1,4-0,2-0,1-1,2-1,3-0,2-0,3-0,2-0,2-0,4-0,3-1,4-0,3-1,2-0,4-0,2-0
