Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,GOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS,
Atlanta Hawks,,2-2,1-2,3-1,0-4,3-0,1-1,1-1,2-2,0-2,1-1,2-2,1-1,1-1,0-2,2-2,3-0,1-1,0-2,2-2,0-2,2-2,3-0,0-2,0-2,2-0,0-2,2-2,2-0,1-3
Boston Celtics,2-2,,1-3,2-1,0-3,3-0,0-2,1-1,1-3,0-2,0-2,0-4,0-2,0-2,0-2,2-1,2-2,1-1,0-2,2-2,0-2,3-1,1-3,0-2,0-2,1-1,0-2,1-3,1-1,1-3
Brooklyn Nets,2-1,3-1,,2-2,1-2,2-2,2-0,1-1,1-3,1-1,1-1,0-4,1-1,1-1,2-0,4-0,3-0,1-1,1-1,1-3,1-1,2-2,3-1,2-0,0-2,1-1,1-1,2-2,2-0,0-3
Charlotte Bobcats,1-3,1-2,2-2,,1-3,4-0,1-1,2-0,3-0,2-0,0-2,1-2,1-1,1-1,1-1,0-4,4-0,1-1,1-1,2-2,0-2,2-2,3-1,0-2,1-1,2-0,0-2,3-0,0-2,3-1
Chicago Bulls,4-0,3-0,2-1,3-1,,3-1,1-1,1-1,3-1,1-1,1-1,2-2,0-2,2-0,1-1,2-2,3-1,1-1,0-2,2-2,0-2,2-1,3-1,2-0,0-2,1-1,1-1,2-2,1-1,1-2
Cleveland Cavaliers,0-3,0-3,2-2,0-4,1-3,,0-2,2-0,3-1,1-1,0-2,1-3,1-1,1-1,1-1,0-3,2-2,1-1,0-2,2-2,1-1,4-0,3-1,1-1,0-2,1-1,0-2,1-2,2-0,2-2
Dallas Mavericks,1-1,2-0,0-2,1-1,1-1,2-0,,1-3,2-0,1-3,2-2,2-0,1-3,3-0,3-1,0-2,2-0,1-3,4-0,1-1,2-1,2-0,2-0,2-1,2-1,3-1,0-4,0-2,4-0,2-0
Denver Nuggets,1-1,1-1,1-1,0-2,1-1,0-2,3-1,,1-1,2-2,1-2,1-1,2-2,3-0,1-3,1-1,2-0,2-2,2-2,1-1,1-3,2-0,1-1,0-4,0-4,1-2,0-3,1-1,2-2,2-0
Detroit Pistons,2-2,3-1,3-1,0-3,1-3,1-3,0-2,1-1,,0-2,0-2,1-3,0-2,0-2,0-2,1-3,3-1,0-2,0-2,2-1,0-2,1-2,3-1,1-1,0-2,2-0,1-1,0-3,1-1,2-2
Golden State Warriors,2-0,2-0,1-1,0-2,1-1,1-1,3-1,2-2,2-0,,1-2,1-1,2-2,3-1,2-2,1-1,2-0,2-1,3-0,1-1,1-2,2-0,2-0,2-2,2-2,4-0,0-4,1-1,4-0,1-1
Houston Rockets,1-1,2-0,1-1,2-0,1-1,2-0,2-2,2-1,2-0,2-1,,1-1,0-4,3-1,2-2,1-1,2-0,3-1,3-1,2-0,1-3,2-0,1-1,2-1,3-1,2-2,4-0,1-1,2-1,2-0
Indiana Pacers,2-2,4-0,4-0,2-1,2-2,3-1,0-2,1-1,3-1,1-1,1-1,,2-0,2-0,1-1,2-2,4-0,1-1,2-0,2-1,1-1,3-1,3-0,0-2,1-1,2-0,1-1,2-2,2-0,2-1
