Team,ATL,BOS,BRK,CHI,CHO,CLE,DAL,DEN,DET,GSW,GOU,IND,LAC,LAL,MEM,MIA,MIL,MIN,NOP,NYK,OKC,ORL,PHI,PHO,POR,SAC,SAS,TOR,UTA,WAS,
Atlanta Hawks,,3-1,1-3,0-4,1-3,0-2,1-1,1-2,2-0,1-1,1-3,2-0,0-2,2-0,0-4,1-2,2-0,1-2,0-2,1-2,3-1,1-3,1-1,1-1,1-1,0-2,0-2,2-2,0-2,1-3
Boston Celtics,1-3,,2-2,0-3,1-2,0-2,1-1,0-4,0-2,1-1,1-3,0-2,0-2,1-1,1-2,2-2,1-1,2-2,0-2,3-1,1-3,1-3,0-2,2-0,0-2,1-1,1-1,1-3,0-2,0-3
Charlotte Bobcats,3-1,2-2,,1-2,2-2,0-2,1-1,2-2,1-1,0-2,1-2,0-2,2-0,0-2,2-2,2-2,1-1,1-2,1-1,2-2,2-2,2-2,0-2,0-2,1-1,1-1,0-2,0-3,1-1,2-2
Chicago Bulls,4-0,3-0,2-1,,2-2,1-1,1-1,3-1,1-1,0-2,3-1,0-2,1-1,1-1,3-1,4-0,0-2,1-3,2-0,3-1,1-2,2-1,1-1,2-0,0-2,1-1,2-0,2-2,0-2,3-1
Cleveland Cavaliers,3-1,2-1,2-2,2-2,,0-2,0-2,1-3,2-0,1-1,3-1,2-0,2-0,2-0,1-3,4-0,2-0,2-1,1-1,2-2,1-2,3-1,0-2,1-1,2-0,2-0,1-1,3-1,1-1,2-1
Dallas Mavericks,2-0,2-0,2-0,1-1,2-0,,3-1,1-1,0-3,3-1,2-0,2-1,3-1,4-0,2-0,2-0,4-0,2-0,4-0,2-0,2-0,2-0,2-2,3-0,4-0,3-1,4-0,2-0,1-2,1-1
Denver Nuggets,1-1,1-1,1-1,1-1,2-0,1-3,,0-2,3-1,1-2,2-0,2-1,3-1,2-2,2-0,2-0,2-2,1-1,2-2,1-1,1-1,1-1,1-2,3-1,2-2,1-2,3-1,1-1,1-3,1-1
Detroit Pistons,2-1,4-0,2-2,1-3,3-1,1-1,2-0,,0-2,1-1,2-2,2-0,2-0,2-0,2-1,3-1,1-1,4-0,1-1,2-1,4-0,3-1,1-1,1-1,1-1,0-2,2-0,2-1,0-2,2-2
Golden State Warriors,0-2,2-0,1-1,1-1,0-2,3-0,1-3,2-0,,2-1,1-1,2-2,0-4,3-1,0-2,0-2,2-1,1-1,3-1,1-1,1-1,2-0,1-3,2-1,3-1,1-3,3-1,1-1,2-2,1-1
Houston Rockets,1-1,1-1,2-0,2-0,1-1,1-3,2-1,1-1,1-2,,1-1,3-1,2-2,4-0,2-0,2-0,2-2,2-0,1-3,2-0,2-0,2-0,1-3,2-2,3-0,2-2,3-0,1-1,1-3,2-0
