Player,Pos,Age,Team,Games,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,
J.P. Macura,SG,24,CLE,1,0,1,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Josh Magette,PG,30,ORL,8,0,38,4.7,14.2,.333,0.9,3.8,.250,3.8,10.4,.364,0.9,1.9,.500,0.9,4.7,5.7,4.7,2.8,0.9,4.7,3.8,11.4
Ian Mahinmi,C,33,WAS,38,35,808,4.6,9.4,.495,0.2,1.2,.192,4.4,8.2,.538,3.1,5.0,.619,3.5,6.2,9.7,2.2,1.4,2.0,2.0,5.1,12.6
Thon Maker,C,22,DET,60,14,776,4.3,9.0,.482,1.0,3.0,.344,3.3,6.0,.550,3.4,5.1,.664,2.5,5.2,7.7,2.0,1.2,1.8,2.1,4.7,13.0
Terance Mann,SG,23,LAC,35,6,271,2.9,7.2,.407,0.4,1.6,.250,2.5,5.6,.452,1.2,1.6,.750,0.5,3.9,4.4,5.0,1.1,0.7,1.9,4.8,7.4
Boban Marjanovic,C,31,DAL,37,2,337,10.3,18.5,.555,0.4,1.6,.267,9.8,16.9,.582,3.8,5.0,.766,5.7,10.7,16.3,1.4,0.7,0.7,2.8,5.0,24.8
Lauri Markkanen,PF,22,CHI,50,50,1492,6.1,14.3,.425,2.6,7.6,.344,3.4,6.6,.518,3.0,3.7,.824,1.4,6.1,7.6,1.8,1.0,0.6,2.0,2.3,17.8
Caleb Martin,SF,24,CHO,18,1,317,4.2,9.5,.440,2.3,4.2,.541,1.9,5.3,.362,1.9,2.4,.810,1.1,3.2,4.3,2.6,1.4,0.8,1.7,3.6,12.6
Cody Martin,SF,24,CHO,48,3,903,3.5,8.3,.430,0.7,3.1,.234,2.8,5.2,.546,1.7,2.6,.646,1.5,4.8,6.3,3.8,1.6,0.4,1.8,3.1,9.5
Jeremiah Martin,PG,23,BRK,3,0,16,2.3,11.3,.200,0.0,2.3,.000,2.3,9.0,.250,0.0,0.0,,0.0,4.5,4.5,4.5,2.3,2.3,0.0,0.0,4.5
Kelan Martin,SF,24,MIN,31,4,495,5.2,13.2,.392,1.8,7.0,.260,3.3,6.2,.541,2.2,2.3,.968,0.9,6.1,7.0,1.7,0.5,0.7,1.5,3.7,14.3
Frank Mason III,PG,25,MIL,6,0,53,3.4,12.9,.263,1.4,6.8,.200,2.0,6.1,.333,1.4,2.7,.500,2.0,3.4,5.4,7.5,1.4,0.0,4.1,2.7,9.5
Garrison Mathews,SG,23,WAS,18,0,227,3.8,8.9,.429,3.0,7.3,.413,0.8,1.6,.500,4.9,5.4,.912,1.0,2.9,3.8,1.6,1.3,0.2,1.3,5.1,15.5
Wesley Matthews,SG,33,MIL,62,62,1529,3.7,9.4,.397,2.4,6.5,.365,1.4,2.9,.468,1.1,1.5,.762,0.5,3.3,3.8,2.1,0.9,0.2,1.0,2.1,11.0
Patrick McCaw,SF,24,TOR,37,12,908,2.7,6.4,.414,0.9,2.8,.324,1.7,3.6,.484,0.5,0.7,.722,0.8,2.7,3.4,3.1,1.5,0.2,1.1,2.4,6.7
CJ McCollum,SG,28,POR,62,62,2229,8.9,19.6,.453,2.8,7.4,.380,6.1,12.2,.497,2.0,2.6,.750,0.7,3.4,4.1,4.3,0.7,0.6,1.9,2.6,22.5
T.J. McConnell,PG,27,IND,63,3,1188,5.7,11.0,.517,0.2,0.5,.333,5.5,10.5,.524,0.9,1.1,.833,1.0,4.0,4.9,9.6,1.3,0.3,2.6,2.1,12.4
Jalen McDaniels,PF,22,CHO,16,0,293,4.1,8.6,.471,1.1,2.9,.375,2.9,5.7,.522,1.7,2.1,.824,1.8,6.1,8.0,1.6,1.0,0.4,1.4,4.4,10.9
Doug McDermott,PF,28,IND,62,0,1242,7.0,14.2,.491,3.4,7.7,.445,3.6,6.6,.544,1.2,1.5,.827,0.7,3.9,4.5,2.0,0.3,0.1,1.2,3.1,18.6
JaVale McGee,C,32,LAL,61,61,1023,6.4,10.0,.640,0.1,0.2,.500,6.3,9.7,.643,1.7,2.6,.653,3.9,8.6,12.5,1.2,1.1,3.2,1.7,5.1,14.6
,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rodney McGruder,SG,28,LAC,50,3,749,2.9,7.5,.391,1.1,3.8,.278,1.9,3.7,.506,0.7,1.3,.536,1.2,4.9,6.2,1.4,1.1,0.4,1.0,3.2,7.6
Alfonzo McKinnie,SF,27,CLE,40,1,593,4.4,10.4,.427,0.8,3.9,.215,3.6,6.4,.557,1.3,1.9,.710,2.2,4.6,6.9,0.8,1.4,0.5,1.6,4.4,11.0
Jordan McLaughlin,PG,23,MIN,30,2,590,5.3,10.9,.489,1.8,4.6,.382,3.5,6.2,.569,1.6,2.4,.667,0.4,2.6,3.0,7.6,2.1,0.2,1.9,1.9,14.0
Ben McLemore,SG,26,HOU,63,19,1437,5.2,11.8,.445,3.9,9.8,.395,1.4,2.0,.688,1.2,1.6,.758,0.5,3.0,3.5,1.4,1.0,0.3,1.2,3.3,15.5
Jordan McRae,SG,28,TOT,37,4,784,6.8,16.8,.407,2.1,5.8,.357,4.8,11.0,.433,3.8,5.0,.761,0.8,4.9,5.7,4.3,1.0,0.7,2.0,3.4,19.6
Jordan McRae,SG,28,WAS,29,4,654,7.3,17.4,.420,2.2,5.8,.377,5.1,11.6,.441,3.5,4.6,.771,0.9,4.8,5.7,4.5,1.0,0.8,2.1,3.4,20.4
Jordan McRae,SG,28,DEN,4,0,32,2.3,6.8,.333,2.3,4.5,.500,0.0,2.3,.000,3.4,4.5,.750,1.1,4.5,5.6,4.5,2.3,1.1,0.0,2.3,10.1
Jordan McRae,SG,28,DET,4,0,98,5.1,15.8,.326,1.1,5.9,.188,4.0,9.9,.407,5.9,8.1,.727,0.0,5.5,5.5,2.6,0.0,0.0,1.8,3.7,17.3
Nicolo Melli,C,29,NOP,52,6,889,5.0,11.3,.442,2.6,7.3,.361,2.3,4.0,.592,1.8,2.4,.733,1.5,4.9,6.4,2.7,1.2,0.8,1.7,4.3,14.4
De'Anthony Melton,PG,21,MEM,52,8,1011,5.3,12.6,.419,1.3,4.2,.316,4.0,8.4,.470,3.1,3.8,.821,1.3,5.6,6.9,5.6,2.3,0.6,2.8,3.3,15.0
Chimezie Metu,PF,22,SAS,16,0,73,9.9,17.3,.571,0.0,0.5,.000,9.9,16.8,.588,3.0,3.9,.750,4.9,7.9,12.8,3.0,0.5,2.0,2.5,2.0,22.7
Khris Middleton,SF,28,MIL,55,52,1653,9.2,18.5,.499,2.9,6.9,.418,6.3,11.6,.547,3.9,4.3,.908,0.9,6.6,7.4,4.9,1.1,0.2,2.5,2.7,25.2
Eric Mika,PF,25,SAC,1,0,19,3.8,5.7,.667,0.0,0.0,,3.8,5.7,.667,3.8,3.8,1.000,3.8,9.5,13.3,0.0,0.0,0.0,0.0,9.5,11.4
C.J. Miles,SG,32,WAS,10,0,161,4.2,13.2,.322,2.5,7.8,.314,1.8,5.4,.333,3.4,4.5,.750,0.9,1.8,2.7,2.7,2.2,0.9,0.9,3.1,14.3
Malcolm Miller,SF,26,TOR,25,1,125,2.3,6.9,.333,1.7,5.5,.316,0.6,1.4,.400,0.3,1.7,.167,0.3,3.7,4.0,2.3,1.2,0.6,0.9,3.5,6.6
Patty Mills,PG,31,SAS,63,1,1430,6.2,14.5,.429,3.7,9.8,.380,2.5,4.7,.529,2.3,2.7,.861,0.5,2.0,2.5,2.8,1.3,0.2,1.3,2.5,18.5
Paul Millsap,PF,34,DEN,44,41,1075,6.3,13.0,.486,1.6,3.7,.440,4.7,9.3,.504,3.5,4.2,.833,2.9,5.8,8.7,2.3,1.3,0.9,2.0,4.3,17.7
Shake Milton,SG,23,PHI,32,16,611,6.4,12.8,.498,2.8,6.2,.453,3.5,6.5,.541,2.3,3.0,.765,0.6,3.4,4.0,4.2,1.1,0.4,2.2,4.1,17.9
Donovan Mitchell,SG,23,UTA,63,63,2165,9.3,20.5,.453,2.6,7.1,.364,6.7,13.4,.501,4.1,4.8,.859,0.7,3.9,4.6,4.4,1.1,0.2,2.8,2.6,25.4
Naz Mitrou-Long,SG,26,IND,3,0,43,5.0,13.4,.375,1.7,9.2,.182,3.3,4.2,.800,0.0,0.0,,0.0,5.0,5.0,5.9,0.8,0.8,1.7,0.8,11.7
Adam Mokoka,SG,21,CHI,11,0,112,3.9,9.0,.429,1.9,4.8,.400,1.9,4.2,.462,0.6,1.3,.500,2.3,1.0,3.2,1.3,1.3,0.0,0.6,5.5,10.3
