Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Wed, Oct 17, 2018,10:00p,,Box Score,@,Sacramento Kings,W,,123,117,1,0,W 1,
Fri, Oct 19, 2018,10:30p,,Box Score,,Golden State Warriors,L,,123,124,1,1,L 1,
Mon, Oct 22, 2018,9:00p,,Box Score,,Memphis Grizzlies,L,,84,92,1,2,L 2,
Wed, Oct 24, 2018,8:00p,,Box Score,@,Houston Rockets,W,,100,89,2,2,W 1,
Sat, Oct 27, 2018,7:00p,,Box Score,@,New Orleans Pelicans,W,,132,111,3,2,W 2,
Sun, Oct 28, 2018,7:00p,,Box Score,@,Dallas Mavericks,W,,113,104,4,2,W 3,
Wed, Oct 31, 2018,8:00p,,Box Score,@,Minnesota Timberwolves,L,,125,128,4,3,L 1,
Fri, Nov 2, 2018,9:00p,,Box Score,,Memphis Grizzlies,L,,100,110,4,4,L 2,
Sat, Nov 3, 2018,9:00p,,Box Score,@,Denver Nuggets,L,,88,103,4,5,L 3,
Mon, Nov 5, 2018,9:00p,,Box Score,,Toronto Raptors,L,,111,124,4,6,L 4,
Wed, Nov 7, 2018,9:00p,,Box Score,,Dallas Mavericks,W,,117,102,5,6,W 1,
Fri, Nov 9, 2018,9:30p,,Box Score,,Boston Celtics,W,,123,115,6,6,W 2,
Mon, Nov 12, 2018,8:00p,,Box Score,@,Memphis Grizzlies,W,,96,88,7,6,W 3,
Wed, Nov 14, 2018,8:30p,,Box Score,@,Dallas Mavericks,L,,68,118,7,7,L 1,
Fri, Nov 16, 2018,7:00p,,Box Score,@,Philadelphia 76ers,L,,107,113,7,8,L 2,
Sat, Nov 17, 2018,7:30p,,Box Score,@,Boston Celtics,W,,98,86,8,8,W 1,
Mon, Nov 19, 2018,7:00p,,Box Score,@,Indiana Pacers,L,,94,121,8,9,L 1,
Wed, Nov 21, 2018,9:00p,,Box Score,,Sacramento Kings,L,,110,119,8,10,L 2,
Fri, Nov 23, 2018,10:30p,,Box Score,@,Los Angeles Lakers,L,,83,90,8,11,L 3,
Sun, Nov 25, 2018,8:00p,,Box Score,@,Sacramento Kings,W,,133,112,9,11,W 1,
,,,,,,,,,,,,,
Mon, Nov 26, 2018,9:00p,,Box Score,,Indiana Pacers,L,,88,121,9,12,L 1,
Wed, Nov 28, 2018,7:30p,,Box Score,@,Brooklyn Nets,W,,101,91,10,12,W 1,
Fri, Nov 30, 2018,7:00p,,Box Score,@,Charlotte Hornets,W,,119,111,11,12,W 2,
Sun, Dec 2, 2018,6:00p,,Box Score,@,Miami Heat,L,,100,102,11,13,L 1,
Tue, Dec 4, 2018,9:00p,,Box Score,,San Antonio Spurs,W,,139,105,12,13,W 1,
Thu, Dec 6, 2018,10:30p,,Box Score,,Houston Rockets,W,,118,91,13,13,W 2,
Sun, Dec 9, 2018,7:00p,,Box Score,@,San Antonio Spurs,L,,97,110,13,14,L 1,
Mon, Dec 10, 2018,8:00p,,Box Score,@,Oklahoma City Thunder,L,,113,122,13,15,L 2,
Wed, Dec 12, 2018,9:00p,,Box Score,,Miami Heat,W,,111,84,14,15,W 1,
Sat, Dec 15, 2018,5:00p,,Box Score,@,Orlando Magic,L,,89,96,14,16,L 1,at Mexico City, Mexico
Mon, Dec 17, 2018,8:00p,,Box Score,@,Houston Rockets,L,,97,102,14,17,L 2,
Wed, Dec 19, 2018,9:00p,,Box Score,,Golden State Warriors,W,,108,103,15,17,W 1,
Fri, Dec 21, 2018,10:00p,,Box Score,@,Portland Trail Blazers,W,,120,90,16,17,W 2,
Sat, Dec 22, 2018,9:00p,,Box Score,,Oklahoma City Thunder,L,,106,107,16,18,L 1,
Tue, Dec 25, 2018,10:30p,,Box Score,,Portland Trail Blazers,W,,117,96,17,18,W 1,
Thu, Dec 27, 2018,10:30p,,Box Score,,Philadelphia 76ers,L,,97,114,17,19,L 1,
