Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Mon, Dec 26, 2011,8:30p,,Box Score,,Memphis Grizzlies,W,,95,82,1,0,W 1,
Wed, Dec 28, 2011,8:30p,,Box Score,,Los Angeles Clippers,W,,115,90,2,0,W 2,
Thu, Dec 29, 2011,8:00p,,Box Score,@,Houston Rockets,L,,85,105,2,1,L 1,
Sat, Dec 31, 2011,8:30p,,Box Score,,Utah Jazz,W,,104,89,3,1,W 1,
Mon, Jan 2, 2012,8:00p,,Box Score,@,Minnesota Timberwolves,L,,96,106,3,2,L 1,
Wed, Jan 4, 2012,8:30p,,Box Score,,Golden State Warriors,W,,101,95,4,2,W 1,
Thu, Jan 5, 2012,8:30p,,Box Score,,Dallas Mavericks,W,,93,71,5,2,W 2,
Sat, Jan 7, 2012,8:30p,,Box Score,,Denver Nuggets,W,,121,117,6,2,W 3,
Sun, Jan 8, 2012,7:00p,,Box Score,@,Oklahoma City Thunder,L,,96,108,6,3,L 1,
Tue, Jan 10, 2012,8:00p,,Box Score,@,Milwaukee Bucks,L,,103,106,6,4,L 2,
Wed, Jan 11, 2012,8:30p,,Box Score,,Houston Rockets,W,OT,101,95,7,4,W 1,
Fri, Jan 13, 2012,8:30p,,Box Score,,Portland Trail Blazers,W,,99,83,8,4,W 2,
Sun, Jan 15, 2012,9:00p,,Box Score,,Phoenix Suns,W,,102,91,9,4,W 3,
Tue, Jan 17, 2012,7:30p,,Box Score,@,Miami Heat,L,,98,120,9,5,L 1,
Wed, Jan 18, 2012,7:00p,,Box Score,@,Orlando Magic,W,OT,85,83,10,5,W 1,
Fri, Jan 20, 2012,8:30p,,Box Score,,Sacramento Kings,L,,86,88,10,6,L 1,
Sat, Jan 21, 2012,8:00p,,Box Score,@,Houston Rockets,L,,102,105,10,7,L 2,
Mon, Jan 23, 2012,8:00p,,Box Score,@,New Orleans Hornets,W,,104,102,11,7,W 1,
Wed, Jan 25, 2012,8:30p,,Box Score,,Atlanta Hawks,W,,105,83,12,7,W 2,
Fri, Jan 27, 2012,8:00p,,Box Score,@,Minnesota Timberwolves,L,,79,87,12,8,L 1,
,,,,,,,,,,,,,
Sun, Jan 29, 2012,6:30p,,Box Score,@,Dallas Mavericks,L,OT,100,101,12,9,L 2,
Mon, Jan 30, 2012,8:00p,,Box Score,@,Memphis Grizzlies,W,,83,73,13,9,W 1,
Wed, Feb 1, 2012,8:30p,,Box Score,,Houston Rockets,W,,99,91,14,9,W 2,
Thu, Feb 2, 2012,8:30p,,Box Score,,New Orleans Hornets,W,,93,81,15,9,W 3,
Sat, Feb 4, 2012,8:30p,,Box Score,,Oklahoma City Thunder,W,,107,96,16,9,W 4,
Mon, Feb 6, 2012,8:00p,,Box Score,@,Memphis Grizzlies,W,,89,84,17,9,W 5,
Wed, Feb 8, 2012,7:00p,,Box Score,@,Philadelphia 76ers,W,,100,90,18,9,W 6,
Sat, Feb 11, 2012,8:00p,,Box Score,@,New Jersey Nets,W,,103,89,19,9,W 7,
Tue, Feb 14, 2012,7:30p,,Box Score,@,Detroit Pistons,W,,99,95,20,9,W 8,
