Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Sun, Jan 19, 2014,8:00p,,Box Score,,Denver Nuggets,W,,117,103,23,17,W 1,
,,,,,,,,,,,,,
Wed, Jan 22, 2014,10:30p,,Box Score,,Indiana Pacers,W,,124,100,24,17,W 2,
Fri, Jan 24, 2014,9:00p,,Box Score,,Washington Wizards,L,,95,101,24,18,L 1,
Sun, Jan 26, 2014,6:00p,,Box Score,@,Cleveland Cavaliers,W,,99,90,25,18,W 1,
Mon, Jan 27, 2014,7:00p,,Box Score,@,Philadelphia 76ers,W,,124,113,26,18,W 2,
Wed, Jan 29, 2014,8:00p,,Box Score,@,Milwaukee Bucks,W,,126,117,27,18,W 3,
Thu, Jan 30, 2014,7:00p,,Box Score,@,Indiana Pacers,W,,102,94,28,18,W 4,
Sat, Feb 1, 2014,9:00p,,Box Score,,Charlotte Bobcats,W,,105,95,29,18,W 5,
Tue, Feb 4, 2014,9:00p,,Box Score,,Chicago Bulls,L,,92,101,29,19,L 1,
Wed, Feb 5, 2014,8:00p,,Box Score,@,Houston Rockets,L,,108,122,29,20,L 2,
Sat, Feb 8, 2014,9:00p,,Box Score,,Golden State Warriors,W,,122,109,30,20,W 1,
Tue, Feb 11, 2014,9:00p,,Box Score,,Miami Heat,L,,97,103,30,21,L 1,
Tue, Feb 18, 2014,9:00p,,Box Score,@,Denver Nuggets,W,OT,112,107,31,21,W 1,
Wed, Feb 19, 2014,9:00p,,Box Score,,Boston Celtics,W,,100,94,32,21,W 2,
Fri, Feb 21, 2014,9:00p,,Box Score,,San Antonio Spurs,W,,106,85,33,21,W 3,
Sun, Feb 23, 2014,9:00p,,Box Score,,Houston Rockets,L,,112,115,33,22,L 1,
Tue, Feb 25, 2014,9:00p,,Box Score,,Minnesota Timberwolves,L,,101,110,33,23,L 2,
Wed, Feb 26, 2014,9:00p,,Box Score,@,Utah Jazz,L,,86,109,33,24,L 3,
Fri, Feb 28, 2014,10:30p,,Box Score,,New Orleans Pelicans,W,,116,104,34,24,W 1,
Sun, Mar 2, 2014,8:00p,,Box Score,,Atlanta Hawks,W,,129,120,35,24,W 2,
Tue, Mar 4, 2014,9:00p,,Box Score,,Los Angeles Clippers,L,,96,104,35,25,L 1,
,,,,,,,,,,,,,
Thu, Mar 6, 2014,9:00p,,Box Score,,Oklahoma City Thunder,W,,128,122,36,25,W 1,
Sun, Mar 9, 2014,9:00p,,Box Score,@,Golden State Warriors,L,,107,113,36,26,L 1,
Mon, Mar 10, 2014,10:30p,,Box Score,@,Los Angeles Clippers,L,,105,112,36,27,L 2,
Wed, Mar 12, 2014,10:00p,,Box Score,,Cleveland Cavaliers,L,,101,110,36,28,L 3,
Fri, Mar 14, 2014,7:30p,,Box Score,@,Boston Celtics,W,,87,80,37,28,W 1,
Sun, Mar 16, 2014,1:00p,,Box Score,@,Toronto Raptors,W,,121,113,38,28,W 2,
Mon, Mar 17, 2014,7:30p,,Box Score,@,Brooklyn Nets,L,,95,108,38,29,L 1,
Wed, Mar 19, 2014,10:00p,,Box Score,,Orlando Magic,W,,109,93,39,29,W 1,
Fri, Mar 21, 2014,10:00p,,Box Score,,Detroit Pistons,W,,98,92,40,29,W 2,
Sun, Mar 23, 2014,3:30p,,Box Score,@,Minnesota Timberwolves,W,,127,120,41,29,W 3,
Mon, Mar 24, 2014,7:30p,,Box Score,@,Atlanta Hawks,W,,102,95,42,29,W 4,
Wed, Mar 26, 2014,7:00p,,Box Score,@,Washington Wizards,W,,99,93,43,29,W 5,
Fri, Mar 28, 2014,10:00p,,Box Score,,New York Knicks,W,,112,88,44,29,W 6,
Sun, Mar 30, 2014,9:30p,,Box Score,@,Los Angeles Lakers,L,,99,115,44,30,L 1,
Wed, Apr 2, 2014,10:00p,,Box Score,,Los Angeles Clippers,L,,108,112,44,31,L 2,
Fri, Apr 4, 2014,10:00p,,Box Score,@,Portland Trail Blazers,W,,109,93,45,31,W 1,
Sun, Apr 6, 2014,9:00p,,Box Score,,Oklahoma City Thunder,W,,122,115,46,31,W 2,
Wed, Apr 9, 2014,8:00p,,Box Score,@,New Orleans Pelicans,W,,94,88,47,31,W 3,
Fri, Apr 11, 2014,8:30p,,Box Score,@,San Antonio Spurs,L,,104,112,47,32,L 1,
Sat, Apr 12, 2014,8:30p,,Box Score,@,Dallas Mavericks,L,,98,101,47,33,L 2,
,,,,,,,,,,,,,
Mon, Apr 14, 2014,10:00p,,Box Score,,Memphis Grizzlies,L,,91,97,47,34,L 3,
Wed, Apr 16, 2014,10:30p,,Box Score,@,Sacramento Kings,W,,104,99,48,34,W 1,
