Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Tue, Oct 22, 2019,10:30p,,Box Score,@,Los Angeles Clippers,L,,102,112,0,1,L 1,
Fri, Oct 25, 2019,10:30p,,Box Score,,Utah Jazz,W,,95,86,1,1,W 1,
Sun, Oct 27, 2019,9:30p,,Box Score,,Charlotte Hornets,W,,120,101,2,1,W 2,
Tue, Oct 29, 2019,10:30p,,Box Score,,Memphis Grizzlies,W,,120,91,3,1,W 3,
Fri, Nov 1, 2019,9:30p,,Box Score,@,Dallas Mavericks,W,OT,119,110,4,1,W 4,
Sun, Nov 3, 2019,7:00p,,Box Score,@,San Antonio Spurs,W,,103,96,5,1,W 5,
Tue, Nov 5, 2019,8:00p,,Box Score,@,Chicago Bulls,W,,118,112,6,1,W 6,
Fri, Nov 8, 2019,10:30p,,Box Score,,Miami Heat,W,,95,80,7,1,W 7,
Sun, Nov 10, 2019,9:30p,,Box Score,,Toronto Raptors,L,,104,113,7,2,L 1,
Tue, Nov 12, 2019,9:00p,,Box Score,@,Phoenix Suns,W,,123,115,8,2,W 1,
Wed, Nov 13, 2019,10:00p,,Box Score,,Golden State Warriors,W,,120,94,9,2,W 2,
Fri, Nov 15, 2019,10:30p,,Box Score,,Sacramento Kings,W,,99,97,10,2,W 3,
Sun, Nov 17, 2019,9:30p,,Box Score,,Atlanta Hawks,W,,122,101,11,2,W 4,
Tue, Nov 19, 2019,10:30p,,Box Score,,Oklahoma City Thunder,W,,112,107,12,2,W 5,
Fri, Nov 22, 2019,8:00p,,Box Score,@,Oklahoma City Thunder,W,,130,127,13,2,W 6,
Sat, Nov 23, 2019,8:00p,,Box Score,@,Memphis Grizzlies,W,,109,108,14,2,W 7,
Mon, Nov 25, 2019,8:30p,,Box Score,@,San Antonio Spurs,W,,114,104,15,2,W 8,
Wed, Nov 27, 2019,9:30p,,Box Score,@,New Orleans Pelicans,W,,114,110,16,2,W 9,
Fri, Nov 29, 2019,10:30p,,Box Score,,Washington Wizards,W,,125,103,17,2,W 10,
Sun, Dec 1, 2019,4:00p,,Box Score,,Dallas Mavericks,L,,100,114,17,3,L 1,
,,,,,,,,,,,,,
Tue, Dec 3, 2019,9:00p,,Box Score,@,Denver Nuggets,W,,105,96,18,3,W 1,
Wed, Dec 4, 2019,9:00p,,Box Score,@,Utah Jazz,W,,121,96,19,3,W 2,
Fri, Dec 6, 2019,10:30p,,Box Score,@,Portland Trail Blazers,W,,136,113,20,3,W 3,
