Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Sun, Dec 25, 2011,5:00p,,Box Score,,Chicago Bulls,L,,87,88,0,1,L 1,
Mon, Dec 26, 2011,10:00p,,Box Score,@,Sacramento Kings,L,,91,100,0,2,L 2,
Tue, Dec 27, 2011,10:30p,,Box Score,,Utah Jazz,W,,96,71,1,2,W 1,
Thu, Dec 29, 2011,10:30p,,Box Score,,New York Knicks,W,,99,82,2,2,W 2,
Sat, Dec 31, 2011,3:30p,,Box Score,,Denver Nuggets,W,,92,89,3,2,W 3,
Sun, Jan 1, 2012,8:00p,,Box Score,@,Denver Nuggets,L,,90,99,3,3,L 1,
Tue, Jan 3, 2012,10:30p,,Box Score,,Houston Rockets,W,,108,99,4,3,W 1,
Thu, Jan 5, 2012,10:30p,,Box Score,@,Portland Trail Blazers,L,,96,107,4,4,L 1,
Fri, Jan 6, 2012,10:30p,,Box Score,,Golden State Warriors,W,,97,90,5,4,W 1,
Sun, Jan 8, 2012,9:30p,,Box Score,,Memphis Grizzlies,W,,90,82,6,4,W 2,
Tue, Jan 10, 2012,10:30p,,Box Score,,Phoenix Suns,W,,99,83,7,4,W 3,
Wed, Jan 11, 2012,9:00p,,Box Score,@,Utah Jazz,W,OT,90,87,8,4,W 4,
Fri, Jan 13, 2012,10:30p,,Box Score,,Cleveland Cavaliers,W,,97,92,9,4,W 5,
Sat, Jan 14, 2012,10:30p,,Box Score,@,Los Angeles Clippers,L,,94,102,9,5,L 1,
Mon, Jan 16, 2012,10:30p,,Box Score,,Dallas Mavericks,W,,73,70,10,5,W 1,
Thu, Jan 19, 2012,8:00p,,Box Score,@,Miami Heat,L,,87,98,10,6,L 1,
Fri, Jan 20, 2012,8:00p,,Box Score,@,Orlando Magic,L,,80,92,10,7,L 2,
Sun, Jan 22, 2012,9:30p,,Box Score,,Indiana Pacers,L,,96,98,10,8,L 3,
Wed, Jan 25, 2012,10:30p,,Box Score,,Los Angeles Clippers,W,,96,91,11,8,W 1,
Sat, Jan 28, 2012,8:30p,,Box Score,@,Milwaukee Bucks,L,,89,100,11,9,L 1,
,,,,,,,,,,,,,
Sun, Jan 29, 2012,7:00p,,Box Score,@,Minnesota Timberwolves,W,,106,101,12,9,W 1,
Tue, Jan 31, 2012,10:30p,,Box Score,,Charlotte Bobcats,W,,106,73,13,9,W 2,
Fri, Feb 3, 2012,10:30p,,Box Score,@,Denver Nuggets,W,,93,89,14,9,W 3,
Sat, Feb 4, 2012,9:00p,,Box Score,@,Utah Jazz,L,,87,96,14,10,L 1,
Mon, Feb 6, 2012,7:00p,,Box Score,@,Philadelphia 76ers,L,,90,95,14,11,L 2,
Thu, Feb 9, 2012,8:00p,,Box Score,@,Boston Celtics,W,OT,88,87,15,11,W 1,
Fri, Feb 10, 2012,8:00p,,Box Score,@,New York Knicks,L,,85,92,15,12,L 1,
Sun, Feb 12, 2012,1:00p,,Box Score,@,Toronto Raptors,W,,94,92,16,12,W 1,
Tue, Feb 14, 2012,10:30p,,Box Score,,Atlanta Hawks,W,,86,78,17,12,W 2,
Fri, Feb 17, 2012,10:30p,,Box Score,,Phoenix Suns,W,,111,99,18,12,W 3,
Sun, Feb 19, 2012,8:00p,,Box Score,@,Phoenix Suns,L,,90,102,18,13,L 1,
Mon, Feb 20, 2012,10:30p,,Box Score,,Portland Trail Blazers,W,,103,92,19,13,W 1,
Wed, Feb 22, 2012,9:30p,,Box Score,@,Dallas Mavericks,W,,96,91,20,13,W 2,
Thu, Feb 23, 2012,9:30p,,Box Score,@,Oklahoma City Thunder,L,,85,100,20,14,L 1,
Wed, Feb 29, 2012,10:30p,,Box Score,,Minnesota Timberwolves,W,,104,85,21,14,W 1,
Fri, Mar 2, 2012,10:30p,,Box Score,,Sacramento Kings,W,,115,107,22,14,W 2,
Sun, Mar 4, 2012,3:30p,,Box Score,,Miami Heat,W,,93,83,23,14,W 3,
Tue, Mar 6, 2012,7:30p,,Box Score,@,Detroit Pistons,L,OT,85,88,23,15,L 1,
Wed, Mar 7, 2012,7:00p,,Box Score,@,Washington Wizards,L,,101,106,23,16,L 2,
Fri, Mar 9, 2012,8:00p,,Box Score,@,Minnesota Timberwolves,W,,105,102,24,16,W 1,
,,,,,,,,,,,,,
