Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Wed, Oct 30, 2013,7:00p,,Box Score,,Boston Celtics,W,,93,87,1,0,W 1,
Fri, Nov 1, 2013,7:30p,,Box Score,@,Atlanta Hawks,L,,95,102,1,1,L 1,
Sat, Nov 2, 2013,8:30p,,Box Score,@,Milwaukee Bucks,W,,97,90,2,1,W 1,
Tue, Nov 5, 2013,7:00p,,Box Score,,Miami Heat,L,,95,104,2,2,L 1,
Wed, Nov 6, 2013,7:00p,,Box Score,@,Charlotte Bobcats,L,,90,92,2,3,L 2,
Fri, Nov 8, 2013,7:00p,,Box Score,@,Indiana Pacers,L,,84,91,2,4,L 3,
Sat, Nov 9, 2013,7:00p,,Box Score,,Utah Jazz,W,,115,91,3,4,W 1,
Mon, Nov 11, 2013,8:00p,,Box Score,@,Houston Rockets,L,2OT,104,110,3,5,L 1,
Wed, Nov 13, 2013,8:00p,,Box Score,@,Memphis Grizzlies,W,,103,87,4,5,W 1,
Fri, Nov 15, 2013,7:00p,,Box Score,,Chicago Bulls,L,,80,96,4,6,L 1,
Sun, Nov 17, 2013,1:00p,,Box Score,,Portland Trail Blazers,L,OT,110,118,4,7,L 2,
Wed, Nov 20, 2013,7:00p,,Box Score,@,Philadelphia 76ers,W,,108,98,5,7,W 1,
Fri, Nov 22, 2013,7:00p,,Box Score,,Washington Wizards,W,,96,88,6,7,W 2,
Tue, Nov 26, 2013,7:00p,,Box Score,,Brooklyn Nets,L,,100,102,6,8,L 1,
Fri, Nov 29, 2013,7:00p,,Box Score,,Miami Heat,L,,83,90,6,9,L 2,
Sun, Dec 1, 2013,1:00p,,Box Score,,Denver Nuggets,L,,98,112,6,10,L 3,
Tue, Dec 3, 2013,10:30p,,Box Score,@,Golden State Warriors,L,,103,112,6,11,L 4,
Fri, Dec 6, 2013,9:00p,,Box Score,@,Phoenix Suns,L,,97,106,6,12,L 5,
Sun, Dec 8, 2013,9:30p,,Box Score,@,Los Angeles Lakers,W,,106,94,7,12,W 1,
Tue, Dec 10, 2013,7:00p,,Box Score,,San Antonio Spurs,L,,103,116,7,13,L 1,
,,,,,,,,,,,,,
Fri, Dec 13, 2013,7:00p,,Box Score,,Philadelphia 76ers,W,,108,100,8,13,W 1,
Sat, Dec 14, 2013,8:00p,,Box Score,@,Chicago Bulls,W,,99,77,9,13,W 2,
Wed, Dec 18, 2013,7:00p,,Box Score,,Charlotte Bobcats,L,OT,102,104,9,14,L 1,
Fri, Dec 20, 2013,8:30p,,Box Score,@,Dallas Mavericks,W,OT,109,108,10,14,W 1,
Sun, Dec 22, 2013,7:00p,,Box Score,@,Oklahoma City Thunder,W,,104,98,11,14,W 2,
Mon, Dec 23, 2013,8:30p,,Box Score,@,San Antonio Spurs,L,,99,112,11,15,L 1,
Fri, Dec 27, 2013,7:30p,,Box Score,@,New York Knicks,W,,95,83,12,15,W 1,
Sat, Dec 28, 2013,7:00p,,Box Score,,New York Knicks,W,,115,100,13,15,W 2,
Tue, Dec 31, 2013,8:00p,,Box Score,@,Chicago Bulls,W,,85,79,14,15,W 3,
Wed, Jan 1, 2014,7:00p,,Box Score,,Indiana Pacers,W,,95,82,15,15,W 4,
Fri, Jan 3, 2014,7:00p,,Box Score,@,Washington Wizards,W,,101,88,16,15,W 5,
Sun, Jan 5, 2014,6:00p,,Box Score,@,Miami Heat,L,,97,102,16,16,L 1,
Tue, Jan 7, 2014,7:00p,,Box Score,@,Indiana Pacers,L,,79,86,16,17,L 2,
Wed, Jan 8, 2014,7:00p,,Box Score,,Detroit Pistons,W,,112,91,17,17,W 1,
Sat, Jan 11, 2014,7:00p,,Box Score,,Brooklyn Nets,W,,96,80,18,17,W 2,
Mon, Jan 13, 2014,7:00p,,Box Score,,Milwaukee Bucks,W,,116,94,19,17,W 3,
Wed, Jan 15, 2014,7:30p,,Box Score,@,Boston Celtics,L,,83,88,19,18,L 1,
Fri, Jan 17, 2014,7:00p,,Box Score,,Minnesota Timberwolves,W,,94,89,20,18,W 1,
Sun, Jan 19, 2014,1:00p,,Box Score,,Los Angeles Lakers,L,,106,112,20,19,L 1,
Mon, Jan 20, 2014,2:00p,,Box Score,@,Charlotte Bobcats,L,,95,100,20,20,L 2,
,,,,,,,,,,,,,
Wed, Jan 22, 2014,7:00p,,Box Score,,Dallas Mavericks,W,,93,85,21,20,W 1,
Fri, Jan 24, 2014,7:00p,,Box Score,@,Philadelphia 76ers,W,,104,95,22,20,W 2,
Sat, Jan 25, 2014,7:00p,,Box Score,,Los Angeles Clippers,L,,118,126,22,21,L 1,
