Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Thu, Jan 17, 2013,3:00p,,Box Score,@,Detroit Pistons,W,,102,87,25,13,W 2,at London, England
Mon, Jan 21, 2013,3:30p,,Box Score,,Brooklyn Nets,L,,85,88,25,14,L 1,
Thu, Jan 24, 2013,8:00p,,Box Score,@,Boston Celtics,W,,89,86,26,14,W 1,
,,,,,,,,,,,,,
Sat, Jan 26, 2013,7:00p,,Box Score,@,Philadelphia 76ers,L,,80,97,26,15,L 1,
Sun, Jan 27, 2013,6:30p,,Box Score,,Atlanta Hawks,W,,106,104,27,15,W 1,
Wed, Jan 30, 2013,7:30p,,Box Score,,Orlando Magic,W,,113,97,28,15,W 2,
Fri, Feb 1, 2013,7:30p,,Box Score,,Milwaukee Bucks,W,,96,86,29,15,W 3,
Sat, Feb 2, 2013,7:30p,,Box Score,,Sacramento Kings,W,,120,81,30,15,W 4,
Mon, Feb 4, 2013,7:30p,,Box Score,,Detroit Pistons,W,,99,85,31,15,W 5,
Wed, Feb 6, 2013,7:00p,,Box Score,@,Washington Wizards,L,,96,106,31,16,L 1,
Fri, Feb 8, 2013,8:00p,,Box Score,@,Minnesota Timberwolves,W,,100,94,32,16,W 1,
Sun, Feb 10, 2013,1:00p,,Box Score,,Los Angeles Clippers,L,,88,102,32,17,L 1,
Wed, Feb 13, 2013,7:30p,,Box Score,,Toronto Raptors,L,,88,92,32,18,L 2,
Wed, Feb 20, 2013,7:00p,,Box Score,@,Indiana Pacers,L,,91,125,32,19,L 3,
Fri, Feb 22, 2013,7:00p,,Box Score,@,Toronto Raptors,L,,98,100,32,20,L 4,
Sun, Feb 24, 2013,7:00p,,Box Score,,Philadelphia 76ers,W,,99,93,33,20,W 1,
Wed, Feb 27, 2013,8:00p,,Box Score,,Golden State Warriors,W,,109,105,34,20,W 2,
Fri, Mar 1, 2013,7:00p,,Box Score,@,Washington Wizards,W,,96,88,35,20,W 3,
Sun, Mar 3, 2013,1:00p,,Box Score,,Miami Heat,L,,93,99,35,21,L 1,
Mon, Mar 4, 2013,7:00p,,Box Score,@,Cleveland Cavaliers,W,,102,97,36,21,W 1,
Wed, Mar 6, 2013,7:30p,,Box Score,@,Detroit Pistons,W,,87,77,37,21,W 2,
Thu, Mar 7, 2013,8:00p,,Box Score,,Oklahoma City Thunder,L,,94,95,37,22,L 1,
Sat, Mar 9, 2013,7:30p,,Box Score,,Utah Jazz,W,,113,84,38,22,W 1,
,,,,,,,,,,,,,
Mon, Mar 11, 2013,10:30p,,Box Score,@,Golden State Warriors,L,,63,92,38,23,L 1,
Wed, Mar 13, 2013,10:30p,,Box Score,@,Denver Nuggets,L,,94,117,38,24,L 2,
Thu, Mar 14, 2013,10:30p,,Box Score,@,Portland Trail Blazers,L,,90,105,38,25,L 3,
Sun, Mar 17, 2013,3:30p,,Box Score,@,Los Angeles Clippers,L,,80,93,38,26,L 4,
Mon, Mar 18, 2013,10:30p,,Box Score,@,Utah Jazz,W,,90,83,39,26,W 1,
Wed, Mar 20, 2013,7:30p,,Box Score,,Orlando Magic,W,,106,94,40,26,W 2,
Fri, Mar 22, 2013,7:00p,,Box Score,@,Toronto Raptors,W,,99,94,41,26,W 3,
Sat, Mar 23, 2013,7:30p,,Box Score,,Toronto Raptors,W,,110,84,42,26,W 4,
Tue, Mar 26, 2013,7:00p,,Box Score,@,Boston Celtics,W,,100,85,43,26,W 5,
Wed, Mar 27, 2013,7:30p,,Box Score,,Memphis Grizzlies,W,,108,101,44,26,W 6,
Fri, Mar 29, 2013,7:30p,,Box Score,,Charlotte Bobcats,W,,111,102,45,26,W 7,
Sun, Mar 31, 2013,7:30p,,Box Score,,Boston Celtics,W,,108,89,46,26,W 8,
Tue, Apr 2, 2013,8:00p,,Box Score,@,Miami Heat,W,,102,90,47,26,W 9,
Wed, Apr 3, 2013,7:00p,,Box Score,@,Atlanta Hawks,W,,95,82,48,26,W 10,
Fri, Apr 5, 2013,7:30p,,Box Score,,Milwaukee Bucks,W,,101,83,49,26,W 11,
Sun, Apr 7, 2013,1:00p,,Box Score,@,Oklahoma City Thunder,W,,125,120,50,26,W 12,
Tue, Apr 9, 2013,7:30p,,Box Score,,Washington Wizards,W,,120,99,51,26,W 13,
Thu, Apr 11, 2013,8:00p,,Box Score,@,Chicago Bulls,L,OT,111,118,51,27,L 1,
Fri, Apr 12, 2013,7:30p,,Box Score,@,Cleveland Cavaliers,W,,101,91,52,27,W 1,
Sun, Apr 14, 2013,3:30p,,Box Score,,Indiana Pacers,W,,90,80,53,27,W 2,
,,,,,,,,,,,,,
Mon, Apr 15, 2013,7:00p,,Box Score,@,Charlotte Bobcats,L,,95,106,53,28,L 1,
Wed, Apr 17, 2013,8:00p,,Box Score,,Atlanta Hawks,W,,98,92,54,28,W 1,
