Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Sun, Mar 1, 2020,6:00p,,Box Score,,Toronto Raptors,W,,133,118,41,19,W 1,
,,,,,,,,,,,,,
Tue, Mar 3, 2020,9:00p,,Box Score,,Golden State Warriors,L,,100,116,41,20,L 1,
Thu, Mar 5, 2020,7:00p,,Box Score,@,Charlotte Hornets,W,,114,112,42,20,W 1,
Sat, Mar 7, 2020,7:30p,,Box Score,@,Cleveland Cavaliers,L,,102,104,42,21,L 1,
Mon, Mar 9, 2020,9:00p,,Box Score,,Milwaukee Bucks,W,,109,95,43,21,W 1,
Wed, Mar 11, 2020,8:00p,,Box Score,@,Dallas Mavericks,L,,97,113,43,22,L 1,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
,,,,,,,,,,,,,
