Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Sun, Mar 2, 2014,6:00p,,Box Score,@,Orlando Magic,L,,81,92,15,45,L 14,
,,,,,,,,,,,,,
Tue, Mar 4, 2014,8:00p,,Box Score,@,Oklahoma City Thunder,L,,92,125,15,46,L 15,
Sat, Mar 8, 2014,7:30p,,Box Score,,Utah Jazz,L,,92,104,15,47,L 16,
Mon, Mar 10, 2014,7:30p,,Box Score,@,New York Knicks,L,,110,123,15,48,L 17,
Wed, Mar 12, 2014,7:00p,,Box Score,,Sacramento Kings,L,,98,115,15,49,L 18,
Fri, Mar 14, 2014,7:00p,,Box Score,,Indiana Pacers,L,,94,101,15,50,L 19,
Sat, Mar 15, 2014,7:30p,,Box Score,,Memphis Grizzlies,L,,77,103,15,51,L 20,
Mon, Mar 17, 2014,7:00p,,Box Score,@,Indiana Pacers,L,,90,99,15,52,L 21,
Wed, Mar 19, 2014,7:00p,,Box Score,,Chicago Bulls,L,,94,102,15,53,L 22,
Fri, Mar 21, 2014,7:00p,,Box Score,,New York Knicks,L,,92,93,15,54,L 23,
Sat, Mar 22, 2014,8:00p,,Box Score,@,Chicago Bulls,L,,81,91,15,55,L 24,
Mon, Mar 24, 2014,8:30p,,Box Score,@,San Antonio Spurs,L,,91,113,15,56,L 25,
Thu, Mar 27, 2014,8:00p,,Box Score,@,Houston Rockets,L,,98,120,15,57,L 26,
Sat, Mar 29, 2014,7:30p,,Box Score,,Detroit Pistons,W,,123,98,16,57,W 1,
Mon, Mar 31, 2014,7:30p,,Box Score,@,Atlanta Hawks,L,,95,103,16,58,L 1,
Wed, Apr 2, 2014,7:00p,,Box Score,,Charlotte Bobcats,L,,93,123,16,59,L 2,
Fri, Apr 4, 2014,7:30p,,Box Score,@,Boston Celtics,W,,111,102,17,59,W 1,
Sat, Apr 5, 2014,7:30p,,Box Score,,Brooklyn Nets,L,,101,105,17,60,L 1,
Wed, Apr 9, 2014,7:00p,,Box Score,@,Toronto Raptors,L,,114,125,17,61,L 2,
Fri, Apr 11, 2014,8:00p,,Box Score,@,Memphis Grizzlies,L,,95,117,17,62,L 3,
Sat, Apr 12, 2014,7:00p,,Box Score,@,Charlotte Bobcats,L,,105,111,17,63,L 4,
,,,,,,,,,,,,,
Mon, Apr 14, 2014,7:00p,,Box Score,,Boston Celtics,W,,113,108,18,63,W 1,
Wed, Apr 16, 2014,8:00p,,Box Score,@,Miami Heat,W,,100,87,19,63,W 2,
