Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Mon, Dec 26, 2011,7:00p,,Box Score,@,Charlotte Bobcats,L,,95,96,0,1,L 1,
Tue, Dec 27, 2011,8:30p,,Box Score,,Minnesota Timberwolves,W,,98,95,1,1,W 1,
Fri, Dec 30, 2011,8:30p,,Box Score,,Washington Wizards,W,,102,81,2,1,W 2,
Mon, Jan 2, 2012,9:00p,,Box Score,@,Denver Nuggets,L,,86,91,2,2,L 1,
Tue, Jan 3, 2012,9:00p,,Box Score,@,Utah Jazz,L,,73,85,2,3,L 2,
Thu, Jan 5, 2012,10:00p,,Box Score,@,Sacramento Kings,L,,100,103,2,4,L 3,
Sat, Jan 7, 2012,10:30p,,Box Score,@,Los Angeles Clippers,L,,86,92,2,5,L 4,
Sun, Jan 8, 2012,8:00p,,Box Score,@,Phoenix Suns,L,,93,109,2,6,L 5,
Tue, Jan 10, 2012,8:00p,,Box Score,,San Antonio Spurs,W,,106,103,3,6,W 1,
Thu, Jan 12, 2012,8:00p,,Box Score,,Detroit Pistons,W,,102,93,4,6,W 2,
Fri, Jan 13, 2012,8:30p,,Box Score,@,Dallas Mavericks,L,,76,102,4,7,L 1,
Mon, Jan 16, 2012,2:00p,,Box Score,@,Philadelphia 76ers,L,,82,94,4,8,L 2,
Tue, Jan 17, 2012,8:00p,,Box Score,,Denver Nuggets,L,,95,105,4,9,L 3,
Fri, Jan 20, 2012,7:30p,,Box Score,@,New York Knicks,W,,100,86,5,9,W 1,
Sun, Jan 22, 2012,6:00p,,Box Score,@,Miami Heat,W,,91,82,6,9,W 2,
Mon, Jan 23, 2012,8:00p,,Box Score,,Atlanta Hawks,L,,92,97,6,10,L 1,
Wed, Jan 25, 2012,8:00p,,Box Score,@,Houston Rockets,W,,105,99,7,10,W 1,
Fri, Jan 27, 2012,8:00p,,Box Score,@,Chicago Bulls,L,,100,107,7,11,L 1,
Sat, Jan 28, 2012,8:30p,,Box Score,,Los Angeles Lakers,W,,100,89,8,11,W 1,
Mon, Jan 30, 2012,8:00p,,Box Score,,Detroit Pistons,W,,103,82,9,11,W 2,
,,,,,,,,,,,,,
Wed, Feb 1, 2012,8:00p,,Box Score,,Miami Heat,W,,105,97,10,11,W 3,
Fri, Feb 3, 2012,7:30p,,Box Score,@,Detroit Pistons,L,,80,88,10,12,L 1,
Sat, Feb 4, 2012,8:30p,,Box Score,,Chicago Bulls,L,,90,113,10,13,L 2,
Tue, Feb 7, 2012,8:00p,,Box Score,,Phoenix Suns,L,,105,107,10,14,L 3,
Wed, Feb 8, 2012,7:00p,,Box Score,@,Toronto Raptors,W,,105,99,11,14,W 1,
Fri, Feb 10, 2012,7:30p,,Box Score,@,Cleveland Cavaliers,W,OT,113,112,12,14,W 2,
Sat, Feb 11, 2012,9:00p,,Box Score,,Orlando Magic,L,,94,99,12,15,L 1,
Mon, Feb 13, 2012,8:00p,,Box Score,,Miami Heat,L,,96,114,12,16,L 2,
Wed, Feb 15, 2012,8:00p,,Box Score,,New Orleans Hornets,L,,89,92,12,17,L 3,
Fri, Feb 17, 2012,7:00p,,Box Score,@,Orlando Magic,L,,85,94,12,18,L 4,
Sun, Feb 19, 2012,7:00p,,Box Score,@,New Jersey Nets,W,,92,85,13,18,W 1,
Mon, Feb 20, 2012,8:00p,,Box Score,,Orlando Magic,L,,90,93,13,19,L 1,
Wed, Feb 22, 2012,8:00p,,Box Score,@,Chicago Bulls,L,,91,110,13,20,L 2,
Tue, Feb 28, 2012,8:00p,,Box Score,,Washington Wizards,W,,119,118,14,20,W 1,
Wed, Feb 29, 2012,7:30p,,Box Score,@,Boston Celtics,L,,96,102,14,21,L 1,
Fri, Mar 2, 2012,7:30p,,Box Score,@,Atlanta Hawks,L,,94,99,14,22,L 2,
Sat, Mar 3, 2012,7:00p,,Box Score,@,Orlando Magic,L,,98,114,14,23,L 3,
Mon, Mar 5, 2012,8:00p,,Box Score,,Philadelphia 76ers,W,,97,93,15,23,W 1,
Wed, Mar 7, 2012,8:00p,,Box Score,,Chicago Bulls,L,,104,106,15,24,L 1,
Fri, Mar 9, 2012,8:30p,,Box Score,,New York Knicks,W,,119,114,16,24,W 1,
,,,,,,,,,,,,,
Sun, Mar 11, 2012,6:00p,,Box Score,@,Toronto Raptors,W,,105,99,17,24,W 2,
Mon, Mar 12, 2012,7:30p,,Box Score,@,New Jersey Nets,W,,105,99,18,24,W 3,
Wed, Mar 14, 2012,8:00p,,Box Score,,Cleveland Cavaliers,W,,115,105,19,24,W 4,
Fri, Mar 16, 2012,10:30p,,Box Score,@,Golden State Warriors,W,,120,98,20,24,W 5,
Tue, Mar 20, 2012,10:00p,,Box Score,@,Portland Trail Blazers,W,,116,87,21,24,W 6,
Thu, Mar 22, 2012,8:00p,,Box Score,,Boston Celtics,L,,91,100,21,25,L 1,
Fri, Mar 23, 2012,7:00p,,Box Score,@,Charlotte Bobcats,W,,112,92,22,25,W 1,
Sat, Mar 24, 2012,8:30p,,Box Score,,Indiana Pacers,L,,104,125,22,26,L 1,
Mon, Mar 26, 2012,7:30p,,Box Score,@,New York Knicks,L,,80,89,22,27,L 2,
Tue, Mar 27, 2012,8:00p,,Box Score,,Atlanta Hawks,W,,108,101,23,27,W 1,
Fri, Mar 30, 2012,7:30p,,Box Score,@,Cleveland Cavaliers,W,,121,84,24,27,W 2,
Sat, Mar 31, 2012,8:30p,,Box Score,,Memphis Grizzlies,L,,95,99,24,28,L 1,
Mon, Apr 2, 2012,7:00p,,Box Score,@,Washington Wizards,W,,112,98,25,28,W 1,
Wed, Apr 4, 2012,8:00p,,Box Score,,Cleveland Cavaliers,W,,107,98,26,28,W 2,
Fri, Apr 6, 2012,8:30p,,Box Score,,Charlotte Bobcats,W,,95,90,27,28,W 3,
Sat, Apr 7, 2012,8:30p,,Box Score,,Portland Trail Blazers,W,,116,94,28,28,W 4,
Mon, Apr 9, 2012,8:00p,,Box Score,,Oklahoma City Thunder,L,,89,109,28,29,L 1,
Wed, Apr 11, 2012,8:00p,,Box Score,,New York Knicks,L,,107,111,28,30,L 2,
