Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Wed, Oct 29, 2014,10:00p,,Box Score,@,Sacramento Kings,W,,95,77,1,0,W 1,
Sat, Nov 1, 2014,10:30p,,Box Score,,Los Angeles Lakers,W,,127,104,2,0,W 2,
Sun, Nov 2, 2014,9:00p,,Box Score,@,Portland Trail Blazers,W,,95,90,3,0,W 3,
Wed, Nov 5, 2014,10:30p,,Box Score,,Los Angeles Clippers,W,,121,104,4,0,W 4,
Sat, Nov 8, 2014,8:00p,,Box Score,@,Houston Rockets,W,,98,87,5,0,W 5,
Sun, Nov 9, 2014,8:00p,,Box Score,@,Phoenix Suns,L,,95,107,5,1,L 1,
Tue, Nov 11, 2014,10:30p,,Box Score,,San Antonio Spurs,L,,100,113,5,2,L 2,
Thu, Nov 13, 2014,10:30p,,Box Score,,Brooklyn Nets,W,,107,99,6,2,W 1,
Sat, Nov 15, 2014,10:30p,,Box Score,,Charlotte Hornets,W,,112,87,7,2,W 2,
Sun, Nov 16, 2014,9:30p,,Box Score,@,Los Angeles Lakers,W,,136,115,8,2,W 3,
Fri, Nov 21, 2014,10:30p,,Box Score,,Utah Jazz,W,,101,88,9,2,W 4,
Sun, Nov 23, 2014,7:00p,,Box Score,@,Oklahoma City Thunder,W,,91,86,10,2,W 5,
Tue, Nov 25, 2014,7:30p,,Box Score,@,Miami Heat,W,,114,97,11,2,W 6,
Wed, Nov 26, 2014,7:00p,,Box Score,@,Orlando Magic,W,,111,96,12,2,W 7,
Fri, Nov 28, 2014,7:00p,,Box Score,@,Charlotte Hornets,W,,106,101,13,2,W 8,
Sun, Nov 30, 2014,3:30p,,Box Score,@,Detroit Pistons,W,,104,93,14,2,W 9,
Tue, Dec 2, 2014,10:30p,,Box Score,,Orlando Magic,W,,98,97,15,2,W 10,
Thu, Dec 4, 2014,10:30p,,Box Score,,New Orleans Pelicans,W,,112,85,16,2,W 11,
Sat, Dec 6, 2014,8:00p,,Box Score,@,Chicago Bulls,W,,112,102,17,2,W 12,
Mon, Dec 8, 2014,8:00p,,Box Score,@,Minnesota Timberwolves,W,,102,86,18,2,W 13,
,,,,,,,,,,,,,
Wed, Dec 10, 2014,10:30p,,Box Score,,Houston Rockets,W,,105,93,19,2,W 14,
Sat, Dec 13, 2014,2:00p,,Box Score,@,Dallas Mavericks,W,,105,98,20,2,W 15,
Sun, Dec 14, 2014,6:00p,,Box Score,@,New Orleans Pelicans,W,OT,128,122,21,2,W 16,
Tue, Dec 16, 2014,8:00p,,Box Score,@,Memphis Grizzlies,L,,98,105,21,3,L 1,
Thu, Dec 18, 2014,10:30p,,Box Score,,Oklahoma City Thunder,W,,114,109,22,3,W 1,
Mon, Dec 22, 2014,10:30p,,Box Score,,Sacramento Kings,W,,128,108,23,3,W 2,
Tue, Dec 23, 2014,10:30p,,Box Score,@,Los Angeles Lakers,L,,105,115,23,4,L 1,
Thu, Dec 25, 2014,10:30p,,Box Score,@,Los Angeles Clippers,L,,86,100,23,5,L 2,
Sat, Dec 27, 2014,10:30p,,Box Score,,Minnesota Timberwolves,W,,110,97,24,5,W 1,
Tue, Dec 30, 2014,10:30p,,Box Score,,Philadelphia 76ers,W,,126,86,25,5,W 2,
Fri, Jan 2, 2015,10:30p,,Box Score,,Toronto Raptors,W,,126,105,26,5,W 3,
Mon, Jan 5, 2015,10:30p,,Box Score,,Oklahoma City Thunder,W,,117,91,27,5,W 4,
Wed, Jan 7, 2015,10:30p,,Box Score,,Indiana Pacers,W,,117,102,28,5,W 5,
Fri, Jan 9, 2015,10:30p,,Box Score,,Cleveland Cavaliers,W,,112,94,29,5,W 6,
Tue, Jan 13, 2015,9:00p,,Box Score,@,Utah Jazz,W,,116,105,30,5,W 7,
Wed, Jan 14, 2015,10:30p,,Box Score,,Miami Heat,W,,104,89,31,5,W 8,
Fri, Jan 16, 2015,8:00p,,Box Score,@,Oklahoma City Thunder,L,,115,127,31,6,L 1,
Sat, Jan 17, 2015,8:00p,,Box Score,@,Houston Rockets,W,,131,106,32,6,W 1,
Mon, Jan 19, 2015,4:00p,,Box Score,,Denver Nuggets,W,,122,79,33,6,W 2,
Wed, Jan 21, 2015,10:30p,,Box Score,,Houston Rockets,W,,126,113,34,6,W 3,
,,,,,,,,,,,,,
