Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Mon, Dec 26, 2011,7:00p,,Box Score,,New Jersey Nets,L,,84,90,0,1,L 1,
Wed, Dec 28, 2011,7:30p,,Box Score,@,Atlanta Hawks,L,,83,101,0,2,L 2,
Fri, Dec 30, 2011,8:30p,,Box Score,@,Milwaukee Bucks,L,,81,102,0,3,L 3,
Sun, Jan 1, 2012,6:00p,,Box Score,,Boston Celtics,L,,86,94,0,4,L 4,
Mon, Jan 2, 2012,7:30p,,Box Score,@,Boston Celtics,L,,92,100,0,5,L 5,
Wed, Jan 4, 2012,7:00p,,Box Score,@,Orlando Magic,L,,85,103,0,6,L 6,
Fri, Jan 6, 2012,7:00p,,Box Score,,New York Knicks,L,,96,99,0,7,L 7,
Sun, Jan 8, 2012,1:00p,,Box Score,,Minnesota Timberwolves,L,,72,93,0,8,L 8,
Tue, Jan 10, 2012,7:00p,,Box Score,,Toronto Raptors,W,,93,78,1,8,W 1,
Wed, Jan 11, 2012,8:00p,,Box Score,@,Chicago Bulls,L,,64,78,1,9,L 1,
Fri, Jan 13, 2012,7:00p,,Box Score,@,Philadelphia 76ers,L,,89,120,1,10,L 2,
Sat, Jan 14, 2012,7:00p,,Box Score,,Philadelphia 76ers,L,,90,103,1,11,L 3,
Mon, Jan 16, 2012,2:00p,,Box Score,,Houston Rockets,L,,106,114,1,12,L 4,
Wed, Jan 18, 2012,7:00p,,Box Score,,Oklahoma City Thunder,W,,105,102,2,12,W 1,
Fri, Jan 20, 2012,7:00p,,Box Score,,Denver Nuggets,L,,104,108,2,13,L 1,
Sun, Jan 22, 2012,1:00p,,Box Score,,Boston Celtics,L,,94,100,2,14,L 2,
Mon, Jan 23, 2012,7:00p,,Box Score,@,Philadelphia 76ers,L,,83,103,2,15,L 3,
Wed, Jan 25, 2012,7:00p,,Box Score,,Charlotte Bobcats,W,,92,75,3,15,W 1,
Fri, Jan 27, 2012,8:00p,,Box Score,@,Houston Rockets,L,,76,103,3,16,L 1,
Sat, Jan 28, 2012,7:00p,,Box Score,@,Charlotte Bobcats,W,,102,99,4,16,W 1,
,,,,,,,,,,,,,
Mon, Jan 30, 2012,7:00p,,Box Score,,Chicago Bulls,L,,88,98,4,17,L 1,
Wed, Feb 1, 2012,7:00p,,Box Score,@,Orlando Magic,L,,103,109,4,18,L 2,
Fri, Feb 3, 2012,7:00p,,Box Score,@,Toronto Raptors,L,,89,106,4,19,L 3,
