Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Mon, Jan 31, 2011,7:00p,,Box Score,,Toronto Raptors,W,,104,93,18,27,W 1,
Wed, Feb 2, 2011,7:00p,,Box Score,@,Cleveland Cavaliers,W,,117,112,19,27,W 2,
Fri, Feb 4, 2011,7:00p,,Box Score,,Portland Trail Blazers,W,,100,87,20,27,W 3,
Sun, Feb 6, 2011,12:00p,,Box Score,@,New Jersey Nets,W,,105,86,21,27,W 4,
Tue, Feb 8, 2011,7:30p,,Box Score,@,Miami Heat,L,,112,117,21,28,L 1,
Wed, Feb 9, 2011,7:00p,,Box Score,,Charlotte Bobcats,W,,104,103,22,28,W 1,
Fri, Feb 11, 2011,7:00p,,Box Score,,Minnesota Timberwolves,W,,116,105,23,28,W 2,
Sat, Feb 12, 2011,8:30p,,Box Score,@,Milwaukee Bucks,W,,103,97,24,28,W 3,
Tue, Feb 15, 2011,7:00p,,Box Score,,Miami Heat,L,,103,110,24,29,L 1,
Wed, Feb 16, 2011,7:30p,,Box Score,@,Detroit Pistons,L,OT,109,115,24,30,L 2,
Tue, Feb 22, 2011,7:00p,,Box Score,@,Washington Wizards,W,,113,96,25,30,W 1,
Wed, Feb 23, 2011,7:00p,,Box Score,,Detroit Pistons,W,,102,101,26,30,W 2,
Fri, Feb 25, 2011,7:00p,,Box Score,,Utah Jazz,L,,84,95,26,31,L 1,
Sun, Feb 27, 2011,12:00p,,Box Score,,Phoenix Suns,L,OT,108,110,26,32,L 2,
Tue, Mar 1, 2011,7:00p,,Box Score,,Golden State Warriors,W,,109,100,27,32,W 1,
Wed, Mar 2, 2011,8:00p,,Box Score,@,Oklahoma City Thunder,L,,89,113,27,33,L 1,
,,,,,,,,,,,,,
Fri, Mar 4, 2011,8:30p,,Box Score,@,Dallas Mavericks,L,,108,116,27,34,L 2,
Sat, Mar 5, 2011,8:30p,,Box Score,@,Houston Rockets,L,,95,112,27,35,L 3,
Tue, Mar 8, 2011,7:00p,,Box Score,,Philadelphia 76ers,L,,100,110,27,36,L 4,
Wed, Mar 9, 2011,8:00p,,Box Score,@,Minnesota Timberwolves,L,,75,101,27,37,L 5,
Fri, Mar 11, 2011,7:00p,,Box Score,@,Toronto Raptors,L,,98,108,27,38,L 6,
Sun, Mar 13, 2011,6:00p,,Box Score,@,New York Knicks,W,,106,93,28,38,W 1,
Tue, Mar 15, 2011,7:00p,,Box Score,,New York Knicks,W,,119,117,29,38,W 2,
Wed, Mar 16, 2011,7:30p,,Box Score,@,Boston Celtics,L,,80,92,29,39,L 1,
Fri, Mar 18, 2011,7:00p,,Box Score,,Chicago Bulls,W,OT,115,108,30,39,W 1,
Sat, Mar 19, 2011,8:00p,,Box Score,@,Memphis Grizzlies,L,,78,99,30,40,L 1,
Mon, Mar 21, 2011,7:00p,,Box Score,@,New Jersey Nets,W,,102,98,31,40,W 1,
Wed, Mar 23, 2011,7:00p,,Box Score,@,Charlotte Bobcats,W,,111,88,32,40,W 2,
Fri, Mar 25, 2011,7:00p,,Box Score,,Sacramento Kings,L,,93,110,32,41,L 1,
Sat, Mar 26, 2011,7:30p,,Box Score,@,Detroit Pistons,L,,88,100,32,42,L 2,
Mon, Mar 28, 2011,7:00p,,Box Score,,Boston Celtics,W,,107,100,33,42,W 1,
Wed, Mar 30, 2011,7:00p,,Box Score,,Detroit Pistons,W,,111,101,34,42,W 2,
Fri, Apr 1, 2011,7:00p,,Box Score,,Milwaukee Bucks,W,,89,88,35,42,W 3,
Sun, Apr 3, 2011,7:00p,,Box Score,@,New Orleans Hornets,L,,96,108,35,43,L 1,
Wed, Apr 6, 2011,7:00p,,Box Score,,Washington Wizards,W,,136,112,36,43,W 1,
Fri, Apr 8, 2011,7:00p,,Box Score,,Atlanta Hawks,W,,114,102,37,43,W 2,
,,,,,,,,,,,,,
Sun, Apr 10, 2011,7:00p,,Box Score,,New York Knicks,L,,109,110,37,44,L 1,
Wed, Apr 13, 2011,8:00p,,Box Score,@,Orlando Magic,L,,74,92,37,45,L 2,
