Date,Start(ET), ,Score,Home_or_Away(@),Opponent,Win/Loss,OT,Points_Team,Points_Opponent,Win,Loss,Streak,Notes,
Wed, Dec 10, 2014,7:00p,,Box Score,@,Indiana Pacers,W,,103,96,16,5,W 9,
Fri, Dec 12, 2014,7:00p,,Box Score,@,Washington Wizards,L,,96,104,16,6,L 1,
Sat, Dec 13, 2014,7:30p,,Box Score,@,Milwaukee Bucks,L,,106,111,16,7,L 2,
Mon, Dec 15, 2014,10:30p,,Box Score,,Detroit Pistons,W,,113,91,17,7,W 1,
Wed, Dec 17, 2014,10:30p,,Box Score,,Indiana Pacers,W,,102,100,18,7,W 2,
Fri, Dec 19, 2014,9:00p,,Box Score,@,Denver Nuggets,L,,106,109,18,8,L 1,
Sat, Dec 20, 2014,10:30p,,Box Score,,Milwaukee Bucks,W,,106,102,19,8,W 1,
Mon, Dec 22, 2014,8:30p,,Box Score,@,San Antonio Spurs,L,,118,125,19,9,L 1,
Tue, Dec 23, 2014,7:30p,,Box Score,@,Atlanta Hawks,L,,104,107,19,10,L 2,
Thu, Dec 25, 2014,10:30p,,Box Score,,Golden State Warriors,W,,100,86,20,10,W 1,
Sat, Dec 27, 2014,3:30p,,Box Score,,Toronto Raptors,L,,98,110,20,11,L 1,
Mon, Dec 29, 2014,10:30p,,Box Score,,Utah Jazz,W,,101,97,21,11,W 1,
Wed, Dec 31, 2014,6:00p,,Box Score,,New York Knicks,W,,99,78,22,11,W 2,
Sat, Jan 3, 2015,10:30p,,Box Score,,Philadelphia 76ers,W,,127,91,23,11,W 3,
Mon, Jan 5, 2015,10:30p,,Box Score,,Atlanta Hawks,L,,98,107,23,12,L 1,
Wed, Jan 7, 2015,10:30p,,Box Score,,Los Angeles Lakers,W,,114,89,24,12,W 1,
Sat, Jan 10, 2015,3:30p,,Box Score,,Dallas Mavericks,W,,120,100,25,12,W 2,
Sun, Jan 11, 2015,3:30p,,Box Score,,Miami Heat,L,,90,104,25,13,L 1,
Wed, Jan 14, 2015,10:30p,,Box Score,@,Portland Trail Blazers,W,,100,94,26,13,W 1,
Fri, Jan 16, 2015,10:30p,,Box Score,,Cleveland Cavaliers,L,,121,126,26,14,L 1,
,,,,,,,,,,,,,
Sat, Jan 17, 2015,10:00p,,Box Score,@,Sacramento Kings,W,,117,108,27,14,W 1,
Mon, Jan 19, 2015,3:30p,,Box Score,,Boston Celtics,W,,102,93,28,14,W 2,
Thu, Jan 22, 2015,10:30p,,Box Score,,Brooklyn Nets,W,,123,84,29,14,W 3,
Sun, Jan 25, 2015,6:00p,,Box Score,@,Phoenix Suns,W,,120,100,30,14,W 4,
Mon, Jan 26, 2015,10:30p,,Box Score,,Denver Nuggets,W,,102,98,31,14,W 5,
Wed, Jan 28, 2015,9:00p,,Box Score,@,Utah Jazz,W,,94,89,32,14,W 6,
Fri, Jan 30, 2015,8:00p,,Box Score,@,New Orleans Pelicans,L,,103,108,32,15,L 1,
Sat, Jan 31, 2015,9:00p,,Box Score,@,San Antonio Spurs,W,,105,85,33,15,W 1,
Mon, Feb 2, 2015,7:30p,,Box Score,@,Brooklyn Nets,L,,100,102,33,16,L 1,
